"id","sku","name","images","regular_price","attribute_0_value","attribute_0_name"
"kvt7s","Hanvico","Bộ ga gối Hanvico DLS213","https://demxinh.vn/upload_images/images/chan-ga-hanvico/DLS213/DL%20213_1.jpg,https://demxinh.vn/images/products/2023/07/19/large/DL%20213.2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","1.170.000đ",,
"kvt7s","Hanvico","Bộ ga gối Hanvico DLS213","https://demxinh.vn/upload_images/images/chan-ga-hanvico/DLS213/DL%20213_1.jpg,https://demxinh.vn/images/products/2023/07/19/large/DL%20213.2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","1.170.000đ","160x200","Kích thước"
"kvt7s","Hanvico","Bộ ga gối Hanvico DLS213","https://demxinh.vn/upload_images/images/chan-ga-hanvico/DLS213/DL%20213_1.jpg,https://demxinh.vn/images/products/2023/07/19/large/DL%20213.2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","1.240.000đ","180x200","Kích thước"
"kvt7s","Hanvico","Bộ ga gối Hanvico DLS213","https://demxinh.vn/upload_images/images/chan-ga-hanvico/DLS213/DL%20213_1.jpg,https://demxinh.vn/images/products/2023/07/19/large/DL%20213.2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","1.400.000đ","200x220","Kích thước"
"veyq","Hanvico","Bộ Chăn Ga Hanvico BSM116","https://demxinh.vn/upload_images/images/chan-ga-hanvico/BSM116/BS%20116%20_1.jpg,https://demxinh.vn/images/products/2023/09/13/large/BS%20116.2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","5.931.000đ",,
"veyq","Hanvico","Bộ Chăn Ga Hanvico BSM116","https://demxinh.vn/upload_images/images/chan-ga-hanvico/BSM116/BS%20116%20_1.jpg,https://demxinh.vn/images/products/2023/09/13/large/BS%20116.2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","5.931.000đ","160x200","Kích thước"
"veyq","Hanvico","Bộ Chăn Ga Hanvico BSM116","https://demxinh.vn/upload_images/images/chan-ga-hanvico/BSM116/BS%20116%20_1.jpg,https://demxinh.vn/images/products/2023/09/13/large/BS%20116.2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","6.111.000đ","180x200","Kích thước"
"veyq","Hanvico","Bộ Chăn Ga Hanvico BSM116","https://demxinh.vn/upload_images/images/chan-ga-hanvico/BSM116/BS%20116%20_1.jpg,https://demxinh.vn/images/products/2023/09/13/large/BS%20116.2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","6.471.000đ","200x220","Kích thước"
"7voaf","Hanvico","Bộ Chăn Ga Hanvico BSM112","https://demxinh.vn/upload_images/images/chan-ga-hanvico/BSM112/BS%20112_1.jpg,https://demxinh.vn/images/products/2023/09/13/large/BS%20112.2_1694599977_1.jpg,data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","5.931.000đ",,
"7voaf","Hanvico","Bộ Chăn Ga Hanvico BSM112","https://demxinh.vn/upload_images/images/chan-ga-hanvico/BSM112/BS%20112_1.jpg,https://demxinh.vn/images/products/2023/09/13/large/BS%20112.2_1694599977_1.jpg,data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","5.931.000đ","160x200","Kích thước"
