"id","sku","name","description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"r9l5","#S001334","Bộ Ga phủ Elan ST 2326","
					Với tính năng: Thông thoáng, hút ẩm vượt trội.&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16"">&nbsp;Có độ bóng , độ mềm mượt của Satin&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16"">&nbsp;và thông thoáng mát của lụa Tencel<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t17/1/16/1f49d.png"" width=""16"">&nbsp;Chất Tencel Lụa mềm mại mát mịn!<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t98/1/16/1f49e.png"" width=""16"">&nbsp;Có độ dày và độ bền cao, khả năng hút ẩm tốt.<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t98/1/16/1f49e.png"" width=""16"">&nbsp;Họa tiết bắt mắt - ấn tượng! Tạo điểm nhấn cho phong cách mới -&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf1/1/16/1f4af.png"" width=""16"">New Trend<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16""><br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf1/1/16/1f4af.png"" width=""16"">&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t6a/1/16/1f497.png"" width=""16"">Bộ sản phẩm mang đến cho người dùng cảm giác nhẹ nhàng, thoáng khí, lại toát lên vẻ sang trọng, lịch lãm cho không gian nghỉ ngơi của bạn!<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t6a/1/16/1f497.png"" width=""16""><br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16"">Sản phẩm có sẵn tại:&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t51/1/16/1f449.png"" width=""16"">SHOWROOM ELAN THÁI NGUYÊN<br>SN 167 ĐƯỜNG hOÀNG VĂN THỤ<br>0984.666.922
				","Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan","/uploads/shops/,/uploads/shops/elan/elan-st-2326.jpg,/uploads/shops/,/uploads/shops/elan/elan-st-2326.jpg","Free Size","Kích thước","3.870.000 đ"
"j1vtb","#S001333","Bộ Ga phủ Elan ST 2335","
					Với tính năng: Thông thoáng, hút ẩm vượt trội.&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16"">&nbsp;Có độ bóng , độ mềm mượt của Satin&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16"">&nbsp;và thông thoáng mát của lụa Tencel<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t17/1/16/1f49d.png"" width=""16"">&nbsp;Chất Tencel Lụa mềm mại mát mịn!<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t98/1/16/1f49e.png"" width=""16"">&nbsp;Có độ dày và độ bền cao, khả năng hút ẩm tốt.<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t98/1/16/1f49e.png"" width=""16"">&nbsp;Họa tiết bắt mắt - ấn tượng! Tạo điểm nhấn cho phong cách mới -&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf1/1/16/1f4af.png"" width=""16"">New Trend<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16""><br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf1/1/16/1f4af.png"" width=""16"">&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t6a/1/16/1f497.png"" width=""16"">Bộ sản phẩm mang đến cho người dùng cảm giác nhẹ nhàng, thoáng khí, lại toát lên vẻ sang trọng, lịch lãm cho không gian nghỉ ngơi của bạn!<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t6a/1/16/1f497.png"" width=""16""><br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16"">Sản phẩm có sẵn tại:&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t51/1/16/1f449.png"" width=""16"">SHOWROOM ELAN THÁI NGUYÊN<br>SN 167 ĐƯỜNG hOÀNG VĂN THỤ<br>0984.666.922
				","Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan","/uploads/shops/,/uploads/shops/elan/elan-st-2335.jpg,/uploads/shops/,/uploads/shops/elan/elan-st-2335.jpg","Free Size","Kích thước","3.870.000 đ"
"c6cdh","#S001332","Bộ Ga phủ Elan ST 2338","
					Với tính năng: Thông thoáng, hút ẩm vượt trội.&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16"">&nbsp;Có độ bóng , độ mềm mượt của Satin&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16"">&nbsp;và thông thoáng mát của lụa Tencel<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t17/1/16/1f49d.png"" width=""16"">&nbsp;Chất Tencel Lụa mềm mại mát mịn!<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t98/1/16/1f49e.png"" width=""16"">&nbsp;Có độ dày và độ bền cao, khả năng hút ẩm tốt.<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t98/1/16/1f49e.png"" width=""16"">&nbsp;Họa tiết bắt mắt - ấn tượng! Tạo điểm nhấn cho phong cách mới -&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf1/1/16/1f4af.png"" width=""16"">New Trend<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16""><br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf1/1/16/1f4af.png"" width=""16"">&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t6a/1/16/1f497.png"" width=""16"">Bộ sản phẩm mang đến cho người dùng cảm giác nhẹ nhàng, thoáng khí, lại toát lên vẻ sang trọng, lịch lãm cho không gian nghỉ ngơi của bạn!<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t6a/1/16/1f497.png"" width=""16""><br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16"">Sản phẩm có sẵn tại:&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t51/1/16/1f449.png"" width=""16"">SHOWROOM ELAN THÁI NGUYÊN<br>SN 167 ĐƯỜNG hOÀNG VĂN THỤ<br>0984.666.922
				","Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan","/uploads/shops/,/uploads/shops/elan/elan_1.jpg,/uploads/shops/,/uploads/shops/elan/elan_1.jpg","Free Size","Kích thước","3.870.000 đ"
"rzo5v","#S001331","Bộ Ga phủ Elan TL 2314","
					Với tính năng: Thông thoáng, hút ẩm vượt trội.&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16"">&nbsp;Có độ bóng , độ mềm mượt của Satin&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16"">&nbsp;và thông thoáng mát của lụa Tencel<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t17/1/16/1f49d.png"" width=""16"">&nbsp;Chất Tencel Lụa mềm mại mát mịn!<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t98/1/16/1f49e.png"" width=""16"">&nbsp;Có độ dày và độ bền cao, khả năng hút ẩm tốt.<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t98/1/16/1f49e.png"" width=""16"">&nbsp;Họa tiết bắt mắt - ấn tượng! Tạo điểm nhấn cho phong cách mới -&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf1/1/16/1f4af.png"" width=""16"">New Trend<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16""><br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf1/1/16/1f4af.png"" width=""16"">&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t6a/1/16/1f497.png"" width=""16"">Bộ sản phẩm mang đến cho người dùng cảm giác nhẹ nhàng, thoáng khí, lại toát lên vẻ sang trọng, lịch lãm cho không gian nghỉ ngơi của bạn!<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t6a/1/16/1f497.png"" width=""16""><br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16"">Sản phẩm có sẵn tại:&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t51/1/16/1f449.png"" width=""16"">SHOWROOM ELAN THÁI NGUYÊN<br>SN 167 ĐƯỜNG hOÀNG VĂN THỤ<br>0984.666.922
				","Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan","/uploads/shops/,/uploads/shops/elan/elan-st-2314.jpg,/uploads/shops/,/uploads/shops/elan/elan-st-2314.jpg","Free Size","Kích thước","3.870.000 đ"
"kp9g","#S001330","Bộ Ga phủ Elan ST 2334","
					Với tính năng: Thông thoáng, hút ẩm vượt trội.&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16"">&nbsp;Có độ bóng , độ mềm mượt của Satin&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16"">&nbsp;và thông thoáng mát của lụa Tencel<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t17/1/16/1f49d.png"" width=""16"">&nbsp;Chất Tencel Lụa mềm mại mát mịn!<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t98/1/16/1f49e.png"" width=""16"">&nbsp;Có độ dày và độ bền cao, khả năng hút ẩm tốt.<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t98/1/16/1f49e.png"" width=""16"">&nbsp;Họa tiết bắt mắt - ấn tượng! Tạo điểm nhấn cho phong cách mới -&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf1/1/16/1f4af.png"" width=""16"">New Trend<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16""><br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf1/1/16/1f4af.png"" width=""16"">&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t6a/1/16/1f497.png"" width=""16"">Bộ sản phẩm mang đến cho người dùng cảm giác nhẹ nhàng, thoáng khí, lại toát lên vẻ sang trọng, lịch lãm cho không gian nghỉ ngơi của bạn!<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t6a/1/16/1f497.png"" width=""16""><br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16"">Sản phẩm có sẵn tại:&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t51/1/16/1f449.png"" width=""16"">SHOWROOM ELAN THÁI NGUYÊN<br>SN 167 ĐƯỜNG hOÀNG VĂN THỤ<br>0984.666.922
				","Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan","/uploads/shops/,/uploads/shops/elan/st-2334.jpg,/uploads/shops/,/uploads/shops/elan/st-2334.jpg","Free Size","Kích thước","3.870.000 đ"
"jmt5i","#S001196","Tấm Topper Elan","
					bền - Đẹp _ Tiện lợi
				","Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan","/uploads/shops/,/uploads/shops/elan/topper-elan.jpg,/uploads/shops/,/uploads/shops/elan/topper-elan.jpg","180*200","Kích thước","1.380.000 đ"
"jmt5i","#S001196","Tấm Topper Elan","
					bền - Đẹp _ Tiện lợi
				","Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan","/uploads/shops/,/uploads/shops/elan/topper-elan.jpg,/uploads/shops/,/uploads/shops/elan/topper-elan.jpg","160*200","Kích thước","1.250.000 đ"
"jmt5i","#S001196","Tấm Topper Elan","
					bền - Đẹp _ Tiện lợi
				","Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan","/uploads/shops/,/uploads/shops/elan/topper-elan.jpg,/uploads/shops/,/uploads/shops/elan/topper-elan.jpg","120*190","Kích thước","1.210.000 đ"
"jmt5i","#S001196","Tấm Topper Elan","
					bền - Đẹp _ Tiện lợi
				","Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan","/uploads/shops/,/uploads/shops/elan/topper-elan.jpg,/uploads/shops/,/uploads/shops/elan/topper-elan.jpg","200*220","Kích thước","1.540.000 đ"
"ka41l","#S001195","Bộ Ga phủ Elan TL 2312","
					Với tính năng: Thông thoáng, hút ẩm vượt trội.&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16"">&nbsp;Có độ bóng , độ mềm mượt của Satin&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16"">&nbsp;và thông thoáng mát của lụa Tencel<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t17/1/16/1f49d.png"" width=""16"">&nbsp;Chất Tencel Lụa mềm mại mát mịn!<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t98/1/16/1f49e.png"" width=""16"">&nbsp;Có độ dày và độ bền cao, khả năng hút ẩm tốt.<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t98/1/16/1f49e.png"" width=""16"">&nbsp;Họa tiết bắt mắt - ấn tượng! Tạo điểm nhấn cho phong cách mới -&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf1/1/16/1f4af.png"" width=""16"">New Trend<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/ted/1/16/1f4ab.png"" width=""16""><br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf1/1/16/1f4af.png"" width=""16"">&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t6a/1/16/1f497.png"" width=""16"">Bộ sản phẩm mang đến cho người dùng cảm giác nhẹ nhàng, thoáng khí, lại toát lên vẻ sang trọng, lịch lãm cho không gian nghỉ ngơi của bạn!<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t6a/1/16/1f497.png"" width=""16""><br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16"">Sản phẩm có sẵn tại:&nbsp;<img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t51/1/16/1f449.png"" width=""16"">SHOWROOM ELAN THÁI NGUYÊN<br>SN 167 ĐƯỜNG hOÀNG VĂN THỤ<br>0984.666.922
				","Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan","/uploads/shops/,/uploads/shops/elan/elan-t-2312.jpg,/uploads/shops/,/uploads/shops/elan/elan-t-2312.jpg","180*200","Kích thước","3.870.000 đ"
