"id","sku","name","description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"x1ndb","#S001042","Đệm lò xo Kingkoil Harmony Euro Top cao 28cm","
					ĐỆM LÒ XO KINGKOIL HARMONY EURO TOP<p>Bề mặt đệm sử dụng lớp vải Tencel thân thiện môi trường, có nguồn gốc từ sợi gỗ cây giúp thúc đẩy cơ chế điều hòa thân nhiệt, ngăn chặn sự phát triển của vi khuẩn và tăng cường khả năng hô hấp bằng cách hấp thụ độ ẩm hiệu quả. Sợi Tencel có ưu điểm là bền, nhẹ dịu trên da, mang lại sự thoải mái lâu dài và giải pháp tối ưu cho làn da nhạy cảm.</p><p>Lớp cao su có vai trò quan trọng trong việc nâng đỡ cột sống người nằm. Với khả năng đàn hồi hoàn hảo, nghĩa là khả năng phục hồi hoàn toàn về hình dạng và kích thước ban đầu, lớp cao su giúp chiếc đệm không cong võng, bị lún, trũng khi nằm. Với một lớp cao su 5cm, chiếc đệm sẽ tăng sự thoáng khí, đóng góp vào việc phân tán nhiệt và mồ hôi cơ thể tiết ra, mát mẻ vào mùa hè và ấm áp vào mùa đông</p><p>Mút ốp cạnh tạo ra sự ổn định và vững chắc hơn cho chiếc đệm, đồng thời mở rộng tối đa bề mặt đệm. Có độ bền và tuổi thọ cao, không bị tác động từ môi trường và thời gian làm ảnh hưởng đến chất lượng.<br>&nbsp;</p><div style=""text-align:center""><img alt=""lx"" height=""1192"" src=""/uploads/shops/everon/lx.jpg"" width=""775""></div><p><br>&nbsp;</p>
				","Chăn gối nệm>  Sản Phẩm Everon>  Đệm Everon","/uploads/shops/everon/234.jpg,/uploads/shops/everon/z2100620378217_ec83d65643bd21d731b3b604156d1f0b_1601374222.jpg,/uploads/shops/everon/323.jpg,/uploads/shops/everon/234.jpg,/uploads/shops/everon/z2100620378217_ec83d65643bd21d731b3b604156d1f0b_1601374222.jpg","160x200cm","Kích thước","21.165.000 đ"
"x1ndb","#S001042","Đệm lò xo Kingkoil Harmony Euro Top cao 28cm","
					ĐỆM LÒ XO KINGKOIL HARMONY EURO TOP<p>Bề mặt đệm sử dụng lớp vải Tencel thân thiện môi trường, có nguồn gốc từ sợi gỗ cây giúp thúc đẩy cơ chế điều hòa thân nhiệt, ngăn chặn sự phát triển của vi khuẩn và tăng cường khả năng hô hấp bằng cách hấp thụ độ ẩm hiệu quả. Sợi Tencel có ưu điểm là bền, nhẹ dịu trên da, mang lại sự thoải mái lâu dài và giải pháp tối ưu cho làn da nhạy cảm.</p><p>Lớp cao su có vai trò quan trọng trong việc nâng đỡ cột sống người nằm. Với khả năng đàn hồi hoàn hảo, nghĩa là khả năng phục hồi hoàn toàn về hình dạng và kích thước ban đầu, lớp cao su giúp chiếc đệm không cong võng, bị lún, trũng khi nằm. Với một lớp cao su 5cm, chiếc đệm sẽ tăng sự thoáng khí, đóng góp vào việc phân tán nhiệt và mồ hôi cơ thể tiết ra, mát mẻ vào mùa hè và ấm áp vào mùa đông</p><p>Mút ốp cạnh tạo ra sự ổn định và vững chắc hơn cho chiếc đệm, đồng thời mở rộng tối đa bề mặt đệm. Có độ bền và tuổi thọ cao, không bị tác động từ môi trường và thời gian làm ảnh hưởng đến chất lượng.<br>&nbsp;</p><div style=""text-align:center""><img alt=""lx"" height=""1192"" src=""/uploads/shops/everon/lx.jpg"" width=""775""></div><p><br>&nbsp;</p>
				","Chăn gối nệm>  Sản Phẩm Everon>  Đệm Everon","/uploads/shops/everon/234.jpg,/uploads/shops/everon/z2100620378217_ec83d65643bd21d731b3b604156d1f0b_1601374222.jpg,/uploads/shops/everon/323.jpg,/uploads/shops/everon/234.jpg,/uploads/shops/everon/z2100620378217_ec83d65643bd21d731b3b604156d1f0b_1601374222.jpg","200x220cm","Kích thước","27.540.000 đ"
"yennk","#S001329","Đệm Loxo KING KOIL CLOUD EURO TOP * 27F","
					- Hệ thống lò xo túi vững chắc thiết kế theo 5 vùng trọng lực chính trên cơ thể giúp giảm tối đa tình trạng võng lưng gây đau lưng khi ngủ đồng thời giảm thiếu đáng kể tác động từ người nằm bên cạnh.<br>- Bề mặt đệm sử dụng mút bọc tiện nghi có tác dụng trợ lực và mang lại êm ái khi tiếp xúc
				","Chăn gối nệm>  Sản Phẩm Everon>  Đệm Everon","/uploads/shops/everon/chi-tiet-cloud-euro-top_1.jpg,/uploads/shops/everon/dem-lo-xo-king-koil-cloud-euro-top.jpg,/uploads/shops/everon/chi-tiet-cloud-euro-top_1.jpg,/uploads/shops/everon/dem-lo-xo-king-koil-cloud-euro-top.jpg","160*200","Kích thước","12.197.500 đ"
"yennk","#S001329","Đệm Loxo KING KOIL CLOUD EURO TOP * 27F","
					- Hệ thống lò xo túi vững chắc thiết kế theo 5 vùng trọng lực chính trên cơ thể giúp giảm tối đa tình trạng võng lưng gây đau lưng khi ngủ đồng thời giảm thiếu đáng kể tác động từ người nằm bên cạnh.<br>- Bề mặt đệm sử dụng mút bọc tiện nghi có tác dụng trợ lực và mang lại êm ái khi tiếp xúc
				","Chăn gối nệm>  Sản Phẩm Everon>  Đệm Everon","/uploads/shops/everon/chi-tiet-cloud-euro-top_1.jpg,/uploads/shops/everon/dem-lo-xo-king-koil-cloud-euro-top.jpg,/uploads/shops/everon/chi-tiet-cloud-euro-top_1.jpg,/uploads/shops/everon/dem-lo-xo-king-koil-cloud-euro-top.jpg","180*200","Kích thước","13.302.500 đ"
"yennk","#S001329","Đệm Loxo KING KOIL CLOUD EURO TOP * 27F","
					- Hệ thống lò xo túi vững chắc thiết kế theo 5 vùng trọng lực chính trên cơ thể giúp giảm tối đa tình trạng võng lưng gây đau lưng khi ngủ đồng thời giảm thiếu đáng kể tác động từ người nằm bên cạnh.<br>- Bề mặt đệm sử dụng mút bọc tiện nghi có tác dụng trợ lực và mang lại êm ái khi tiếp xúc
				","Chăn gối nệm>  Sản Phẩm Everon>  Đệm Everon","/uploads/shops/everon/chi-tiet-cloud-euro-top_1.jpg,/uploads/shops/everon/dem-lo-xo-king-koil-cloud-euro-top.jpg,/uploads/shops/everon/chi-tiet-cloud-euro-top_1.jpg,/uploads/shops/everon/dem-lo-xo-king-koil-cloud-euro-top.jpg","200*220","Kích thước","15.427.500 đ"
"67n6o","#S000949","Đệm lò xo KingKoil Cloud Firm 27cm","
					Hệ thống lò xo liên kết chắc chắn,bền vững và hỗ trợ nâng đỡ tối đa cho phần cột sống, Cloud Firm được tạo từ những nguyên liệu cao cấp, đảm bảo an toàn tuyệt đối cho sức khỏe ngưới dùng.<br>Everon - Thương hiệu chăn ga gối đệm Hàn Quốc<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><br><img alt=""?️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t5f/1/16/1f3d8.png"" width=""16"">Showroom: 243 - Minh Cầu - Thái Nguyên.<br><img alt=""☎️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t22/1/16/260e.png"" width=""16"">Hotline: 0208 2222 841 - Zalo: 0974 179 386<br>&nbsp;
				","Chăn gối nệm>  Sản Phẩm Everon>  Đệm Everon","/uploads/shops/everon/cloud-firm-3_1600225646.jpg,/uploads/shops/everon/3790_dem_lo_xo_king_koil_cloud_firm__2_.png,/uploads/shops/everon/cloud-firm-3_1600225646.jpg,/uploads/shops/everon/3790_dem_lo_xo_king_koil_cloud_firm__2_.png","200 x 220 x 27","Kích thước","11.228.500 đ"
"67n6o","#S000949","Đệm lò xo KingKoil Cloud Firm 27cm","
					Hệ thống lò xo liên kết chắc chắn,bền vững và hỗ trợ nâng đỡ tối đa cho phần cột sống, Cloud Firm được tạo từ những nguyên liệu cao cấp, đảm bảo an toàn tuyệt đối cho sức khỏe ngưới dùng.<br>Everon - Thương hiệu chăn ga gối đệm Hàn Quốc<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><br><img alt=""?️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t5f/1/16/1f3d8.png"" width=""16"">Showroom: 243 - Minh Cầu - Thái Nguyên.<br><img alt=""☎️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t22/1/16/260e.png"" width=""16"">Hotline: 0208 2222 841 - Zalo: 0974 179 386<br>&nbsp;
				","Chăn gối nệm>  Sản Phẩm Everon>  Đệm Everon","/uploads/shops/everon/cloud-firm-3_1600225646.jpg,/uploads/shops/everon/3790_dem_lo_xo_king_koil_cloud_firm__2_.png,/uploads/shops/everon/cloud-firm-3_1600225646.jpg,/uploads/shops/everon/3790_dem_lo_xo_king_koil_cloud_firm__2_.png","180 x 200 x 27","Kích thước","9.307.500 đ"
"67n6o","#S000949","Đệm lò xo KingKoil Cloud Firm 27cm","
					Hệ thống lò xo liên kết chắc chắn,bền vững và hỗ trợ nâng đỡ tối đa cho phần cột sống, Cloud Firm được tạo từ những nguyên liệu cao cấp, đảm bảo an toàn tuyệt đối cho sức khỏe ngưới dùng.<br>Everon - Thương hiệu chăn ga gối đệm Hàn Quốc<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><br><img alt=""?️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t5f/1/16/1f3d8.png"" width=""16"">Showroom: 243 - Minh Cầu - Thái Nguyên.<br><img alt=""☎️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t22/1/16/260e.png"" width=""16"">Hotline: 0208 2222 841 - Zalo: 0974 179 386<br>&nbsp;
				","Chăn gối nệm>  Sản Phẩm Everon>  Đệm Everon","/uploads/shops/everon/cloud-firm-3_1600225646.jpg,/uploads/shops/everon/3790_dem_lo_xo_king_koil_cloud_firm__2_.png,/uploads/shops/everon/cloud-firm-3_1600225646.jpg,/uploads/shops/everon/3790_dem_lo_xo_king_koil_cloud_firm__2_.png","160 x 200 x 27","Kích thước","8.483.000 đ"
"67n6o","#S000949","Đệm lò xo KingKoil Cloud Firm 27cm","
					Hệ thống lò xo liên kết chắc chắn,bền vững và hỗ trợ nâng đỡ tối đa cho phần cột sống, Cloud Firm được tạo từ những nguyên liệu cao cấp, đảm bảo an toàn tuyệt đối cho sức khỏe ngưới dùng.<br>Everon - Thương hiệu chăn ga gối đệm Hàn Quốc<br><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><img alt=""?"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png"" width=""16""><br><img alt=""?️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t5f/1/16/1f3d8.png"" width=""16"">Showroom: 243 - Minh Cầu - Thái Nguyên.<br><img alt=""☎️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t22/1/16/260e.png"" width=""16"">Hotline: 0208 2222 841 - Zalo: 0974 179 386<br>&nbsp;
				","Chăn gối nệm>  Sản Phẩm Everon>  Đệm Everon","/uploads/shops/everon/cloud-firm-3_1600225646.jpg,/uploads/shops/everon/3790_dem_lo_xo_king_koil_cloud_firm__2_.png,/uploads/shops/everon/cloud-firm-3_1600225646.jpg,/uploads/shops/everon/3790_dem_lo_xo_king_koil_cloud_firm__2_.png","120 x 190 x 27","Kích thước","6.749.000 đ"
"erft","#NM000858","ĐỆM BÔNG ÉP ARTEMIS","
					<table border=""0"" cellpadding=""0"" cellspacing=""0"" id=""griddatagroup"">	<tbody>		<tr>		</tr>		<tr>			<td align=""right"" rowspan=""2"">15</td>			<td align=""right"">160*200</td>			<td align=""right"">7,750,000</td>			<td><input data-price=""7750000"" data-productid=""2332"" data-productitemname="""" data-productitemno=""15 - 160*200"" data-url=""/shoppingcart.aspx"" id=""qtty_1"" type=""text"" value=""0""></td>			<td align=""center""><input id=""1"" type=""button"" value=""""></td>		</tr>		<tr>			<td align=""right"">180*200</td>			<td align=""right"">8,660,000</td>			<td><input data-price=""8660000"" data-productid=""2332"" data-productitemname="""" data-productitemno=""15 - 180*200"" data-url=""/shoppingcart.aspx"" id=""qtty_2"" type=""text"" value=""0""></td>			<td align=""center""><input id=""2"" type=""button"" value=""""></td>		</tr>		<tr>			<td align=""right"" rowspan=""2"">18</td>			<td align=""right"">160*200</td>			<td align=""right"">9,400,000</td>			<td><input data-price=""9400000"" data-productid=""2332"" data-productitemname="""" data-productitemno=""18 - 160*200"" data-url=""/shoppingcart.aspx"" id=""qtty_3"" type=""text"" value=""0""></td>			<td align=""center""><input id=""3"" type=""button"" value=""""></td>		</tr>		<tr>			<td align=""right"">180*200</td>			<td align=""right"">10,400,000</td>		</tr>	</tbody></table>
				","Chăn gối nệm>  Sản Phẩm Everon>  Đệm Everon","/uploads/shops/everon/latex-wellness_1.jpg,/uploads/shops/everon/artemis-pe-mattress-1_1.jpg,/uploads/shops/everon/latex-wellness_1.jpg,/uploads/shops/everon/artemis-pe-mattress-1_1.jpg","kích thước 2","Kích thước","7.225.000 đ"
