id,sku,name,breadcrumb,images,attribute_0_value,attribute_0_name,regular_price
6kx2k,S001334,Bộ Ga phủ Elan ST 2326,Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan,"https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan-st-2326.jpg,https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan-st-2326.jpg",Free Size,Kích thước,3.870.000 đ
xoi2h,S001333,Bộ Ga phủ Elan ST 2335,Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan,"https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan-st-2335.jpg,https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan-st-2335.jpg",Free Size,Kích thước,3.870.000 đ
wou5,S001332,Bộ Ga phủ Elan ST 2338,Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan,"https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan_1.jpg,https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan_1.jpg",Free Size,Kích thước,3.870.000 đ
x54z,S001331,Bộ Ga phủ Elan TL 2314,Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan,"https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan-st-2314.jpg,https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan-st-2314.jpg",Free Size,Kích thước,3.870.000 đ
79kmg,S001330,Bộ Ga phủ Elan ST 2334,Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan,"https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/st-2334.jpg,https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/st-2334.jpg",Free Size,Kích thước,3.870.000 đ
y8ydd,S001196,Tấm Topper Elan,Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan,"https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/topper-elan.jpg,https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/topper-elan.jpg",180*200,Kích thước,1.380.000 đ
y8ydd,S001196,Tấm Topper Elan,Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan,"https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/topper-elan.jpg,https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/topper-elan.jpg",160*200,Kích thước,1.250.000 đ
y8ydd,S001196,Tấm Topper Elan,Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan,"https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/topper-elan.jpg,https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/topper-elan.jpg",120*190,Kích thước,1.210.000 đ
y8ydd,S001196,Tấm Topper Elan,Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan,"https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/topper-elan.jpg,https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/topper-elan.jpg",200*220,Kích thước,1.540.000 đ
a4ag,S001195,Bộ Ga phủ Elan TL 2312,Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan,"https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan-t-2312.jpg,https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan-t-2312.jpg",180*200,Kích thước,3.870.000 đ
zrwqs,S001194,Bộ Ga phủ Elan TL 2313,Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan,"https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan-tl-2313.jpg,https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan-tl-2313.jpg",180*200,Kích thước,3.870.000 đ
yqwea,S001190,Bộ Ga phủ Elan TL 2325,Chăn gối nệm>  Sản Phẩm Elan>  Chăn Ga Elan,"https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan-tl-2325.jpg,https://uannga.vn/uploads/shops/,https://uannga.vn/uploads/shops/elan/elan-tl-2325.jpg",180*200,Kích thước,3.870.000 đ
