"id","sku","name","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"xcfnl","S001326","Đệm Nano Foam Massage *20cm","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","200*220","Kích thước","7.556.500 đ"
"xcfnl","S001326","Đệm Nano Foam Massage *20cm","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","180*200","Kích thước","6.604.500 đ"
"xcfnl","S001326","Đệm Nano Foam Massage *20cm","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","160*200","Kích thước","5.814.000 đ"
"xcfnl","S001326","Đệm Nano Foam Massage *20cm","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","150*190","Kích thước","5.367.750 đ"
"xcfnl","S001326","Đệm Nano Foam Massage *20cm","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","120*190","Kích thước","4.798.250 đ"
"9nzxa","S001325","Đệm Nano Foam Massage *15cm","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","200*220","Kích thước","5.971.250 đ"
"9nzxa","S001325","Đệm Nano Foam Massage *15cm","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","180*200","Kích thước","5.236.000 đ"
"9nzxa","S001325","Đệm Nano Foam Massage *15cm","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","160*200","Kích thước","4.624.000 đ"
"9nzxa","S001325","Đệm Nano Foam Massage *15cm","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","150*190","Kích thước","4.267.000 đ"
"9nzxa","S001325","Đệm Nano Foam Massage *15cm","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","120*190","Kích thước","3.820.750 đ"
"1geq8","S001324","Đệm Nano Foam Massage *10cm","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,undefined//uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,undefined//uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","200*220","Kích thước","4.462.500 đ"
