"id","sku","name","description","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"r8wzgn","#G18010","Hoa Hộp G 18010","<p style=""margin-left:9.0pt;""><strong>HUYỀN THOẠI</strong></p>
<p style=""margin-left:9.0pt;"">Hoa ly vàng từ lâu đã tượng trưng cho lòng biết ơn, vui vẻ. Những&nbsp;bông hoa ly được đặt ngay vị trí trung tâm của hộp&nbsp;hoa, nổi bật trên nền đỏ, vàng của Hoa lan và Hoa hồng. Hoa ly đã làm tròn nghĩa vụ của nó là làm bật lên sự tinh khiết, quý phái của hộp&nbsp;hoa rực rỡ.</p>
<p style=""margin-left:9.0pt;"">Nếu bạn muốn thể hiện sự cảm kích với ai đó đã giúp bạn, món quà hoa này sẽ là sự lựa chọn phù hợp nhất, đây là món quà đã đi vào huyền thoại trong những dịp lễ, dịp kỷ niệm quan trọng như Quốc tế Phụ nữ, sinh nhật,...</p>
","
<p>Hoa Hộp <strong>Huyền Thoại</strong>&nbsp;gồm Lan Mokara, Hoa Lily, Hoa Hồng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/hoa-hop/G%2018010.jpg","Bình thường","Kích thước",500000
"r8wzgn","#G18010","Hoa Hộp G 18010","<p style=""margin-left:9.0pt;""><strong>HUYỀN THOẠI</strong></p>
<p style=""margin-left:9.0pt;"">Hoa ly vàng từ lâu đã tượng trưng cho lòng biết ơn, vui vẻ. Những&nbsp;bông hoa ly được đặt ngay vị trí trung tâm của hộp&nbsp;hoa, nổi bật trên nền đỏ, vàng của Hoa lan và Hoa hồng. Hoa ly đã làm tròn nghĩa vụ của nó là làm bật lên sự tinh khiết, quý phái của hộp&nbsp;hoa rực rỡ.</p>
<p style=""margin-left:9.0pt;"">Nếu bạn muốn thể hiện sự cảm kích với ai đó đã giúp bạn, món quà hoa này sẽ là sự lựa chọn phù hợp nhất, đây là món quà đã đi vào huyền thoại trong những dịp lễ, dịp kỷ niệm quan trọng như Quốc tế Phụ nữ, sinh nhật,...</p>
","
<p>Hoa Hộp <strong>Huyền Thoại</strong>&nbsp;gồm Lan Mokara, Hoa Lily, Hoa Hồng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/hoa-hop/G%2018010.jpg","Lớn hơn (+30%)","Kích thước",650000
"1437","#G001","Cổng hoa G 001",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-001L.jpg","Bình thường","Kích thước",10000000
"1437","#G001","Cổng hoa G 001",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-001L.jpg","Lớn hơn (+30%)","Kích thước",13000000
"zjqy9","#G002","Cổng hoa G 002",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-002L.jpg","Bình thường","Kích thước",10000000
"zjqy9","#G002","Cổng hoa G 002",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-002L.jpg","Lớn hơn (+30%)","Kích thước",13000000
"wcnc","#G003","Cổng hoa G 003",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-003L.jpg","Bình thường","Kích thước",10000000
"wcnc","#G003","Cổng hoa G 003",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-003L.jpg","Lớn hơn (+30%)","Kích thước",13000000
"5q6s","#G004","Cổng hoa G 004",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-004L.jpg","Bình thường","Kích thước",20000000
"5q6s","#G004","Cổng hoa G 004",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-004L.jpg","Lớn hơn (+30%)","Kích thước",26000000
