"id","sku","name","description","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"0qxjf","#V120","Hoa bình V 120","<p><strong>SỨC SỐNG MỚI</strong></p>
<p>Được biến đến là màu của sức khỏe, của sự thư giãn, tông màu xanh luôn luôn mang đến cho người nhìn một cảm giác sảng khoái và thư thái. Chắc chắn, hoa bình với tông xanh tươi mát này sẽ làm không gian của bạn tràn đầy sức sống.</p>
","
<p>Hoa Bình có chút phá cách với Táo xanh, Wicky, Cúc Tia xanh, Cát tường, Phi yến cùng các loại hoa lá phụ liệu khác.</p>
","Hoa bình","https://hoatuoi360.com/contents/images/Products/hoa-binh/hoa-binh-v-120.jpg","Bình thường","Kích thước",2250000
"0qxjf","#V120","Hoa bình V 120","<p><strong>SỨC SỐNG MỚI</strong></p>
<p>Được biến đến là màu của sức khỏe, của sự thư giãn, tông màu xanh luôn luôn mang đến cho người nhìn một cảm giác sảng khoái và thư thái. Chắc chắn, hoa bình với tông xanh tươi mát này sẽ làm không gian của bạn tràn đầy sức sống.</p>
","
<p>Hoa Bình có chút phá cách với Táo xanh, Wicky, Cúc Tia xanh, Cát tường, Phi yến cùng các loại hoa lá phụ liệu khác.</p>
","Hoa bình","https://hoatuoi360.com/contents/images/Products/hoa-binh/hoa-binh-v-120.jpg","Lớn hơn (+30%)","Kích thước",2925000
"lo2c9e","#G18013","Hoa Bình G 18013","<p><strong>THÂN THUỘC</strong></p>
<p>Hoa Hồng Sa Mạc có&nbsp;tên gọi khác là Hoa Bắp Cải. Từ sự kết hợp của Hoa Bắp Cải, Hoa Hồng và Lan Vũ,&nbsp;Bình Hoa vừa lạ lẫm, vừa quen thuộc với thông điệp ""Hạnh phúc ở quanh đây"".</p>
<p>Trong những dịp lễ như Quốc tế Phụ nữ, sinh nhật,... Món quà được sử dụng như một lời nói yêu thương chân thành gửi đến những người phụ nữ. Bình hoa thích hợp để tô điểm cho những&nbsp;cô nàng công sở thêm nữ tính, điệu đà.</p>
","
<p>Hoa Bình <strong>Thân Thuộc </strong>gồm Lan Vũ Nữ, Hoa Hồng, Hồng Sa mạc, Táo cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-binh/G%2018013.JPG","Bình thường","Kích thước",1000000
"lo2c9e","#G18013","Hoa Bình G 18013","<p><strong>THÂN THUỘC</strong></p>
<p>Hoa Hồng Sa Mạc có&nbsp;tên gọi khác là Hoa Bắp Cải. Từ sự kết hợp của Hoa Bắp Cải, Hoa Hồng và Lan Vũ,&nbsp;Bình Hoa vừa lạ lẫm, vừa quen thuộc với thông điệp ""Hạnh phúc ở quanh đây"".</p>
<p>Trong những dịp lễ như Quốc tế Phụ nữ, sinh nhật,... Món quà được sử dụng như một lời nói yêu thương chân thành gửi đến những người phụ nữ. Bình hoa thích hợp để tô điểm cho những&nbsp;cô nàng công sở thêm nữ tính, điệu đà.</p>
","
<p>Hoa Bình <strong>Thân Thuộc </strong>gồm Lan Vũ Nữ, Hoa Hồng, Hồng Sa mạc, Táo cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-binh/G%2018013.JPG","Lớn hơn (+30%)","Kích thước",1300000
"pw5gl","#G18015","Hoa Bình G 18015","<p style=""margin-left:9.0pt;""><strong>THÂN THIẾT</strong></p>
<p style=""margin-left:9.0pt;"">Từ ngàn đời nay, người Việt luôn đặt hòa khí lên đầu “Dĩ hòa vi quý”. Trong tiếng Hoa, quả táo phát âm là “bình”, có nghĩa là hòa bình. Vì thế, việc chưng hay tặng quả táo như cầu nối tình cảm, mang lại không khí tươi vui, mong muốn hợp tác bền lâu.</p>
<p style=""margin-left:9.0pt;"">Quả táo kết hợp với hoa hồng cùng các hoa, lá phụ chắc chắn sẽ mang đến niềm vui cho nửa kia của thế giới khi nhận được trong những dịp lễ đặc biệt như Quốc tế Phụ nữ, sinh nhật,...</p>
","
<p>Hoa Bình <strong>Thân Thiết </strong>gồm Lan Hồ Điệp, Hoa Hồng, Hoa Tú Cầu, Bi cùng các loại hoa lá phụ liệu khác được đặt trong 1 bình thiên thần xinh xắn.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-binh/G%2018015.jpg","Bình thường","Kích thước",1000000
"pw5gl","#G18015","Hoa Bình G 18015","<p style=""margin-left:9.0pt;""><strong>THÂN THIẾT</strong></p>
<p style=""margin-left:9.0pt;"">Từ ngàn đời nay, người Việt luôn đặt hòa khí lên đầu “Dĩ hòa vi quý”. Trong tiếng Hoa, quả táo phát âm là “bình”, có nghĩa là hòa bình. Vì thế, việc chưng hay tặng quả táo như cầu nối tình cảm, mang lại không khí tươi vui, mong muốn hợp tác bền lâu.</p>
<p style=""margin-left:9.0pt;"">Quả táo kết hợp với hoa hồng cùng các hoa, lá phụ chắc chắn sẽ mang đến niềm vui cho nửa kia của thế giới khi nhận được trong những dịp lễ đặc biệt như Quốc tế Phụ nữ, sinh nhật,...</p>
","
<p>Hoa Bình <strong>Thân Thiết </strong>gồm Lan Hồ Điệp, Hoa Hồng, Hoa Tú Cầu, Bi cùng các loại hoa lá phụ liệu khác được đặt trong 1 bình thiên thần xinh xắn.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-binh/G%2018015.jpg","Lớn hơn (+30%)","Kích thước",1300000
"l4pq","#V128","Hoa bình V 128","<p><strong>HƯNG PHẤN</strong></p>
<p>Sự kết hợp của các tông màu nóng luôn luôn tạo cảm giác bắt mắt, vui tươi khiến người nhận có thêm niềm hưng phấn trong công việc. Với sắc vàng của Hoa Lily, Lan Mokara, sắc đỏ của Hồng Môn và Hoa Hồng, nhờ bàn tay khéo léo của các nghệ nhân, Hoa Bình&nbsp;mang&nbsp;trở nên tráng lệ phù&nbsp;hợp với các dịp lễ Khai Trương, Thăng chức,...&nbsp;</p>
","
<p>Hoành tráng với Lan Vũ Nũ, Mokara, Hồng Môn, Hồng ...và các hoa lá phụ.</p>
","Hoa bình","https://hoatuoi360.com/contents/images/Products/hoa-binh/Hoa-binhV-125.jpg","Bình thường","Kích thước",3000000
"l4pq","#V128","Hoa bình V 128","<p><strong>HƯNG PHẤN</strong></p>
<p>Sự kết hợp của các tông màu nóng luôn luôn tạo cảm giác bắt mắt, vui tươi khiến người nhận có thêm niềm hưng phấn trong công việc. Với sắc vàng của Hoa Lily, Lan Mokara, sắc đỏ của Hồng Môn và Hoa Hồng, nhờ bàn tay khéo léo của các nghệ nhân, Hoa Bình&nbsp;mang&nbsp;trở nên tráng lệ phù&nbsp;hợp với các dịp lễ Khai Trương, Thăng chức,...&nbsp;</p>
","
<p>Hoành tráng với Lan Vũ Nũ, Mokara, Hồng Môn, Hồng ...và các hoa lá phụ.</p>
","Hoa bình","https://hoatuoi360.com/contents/images/Products/hoa-binh/Hoa-binhV-125.jpg","Lớn hơn (+30%)","Kích thước",3900000
"iffj7","#V129","Hoa bình V 129","<p><strong>HOÀNG GIA</strong></p>
<p>Phần lớn mọi người đều muốn rằng không gian sống của mình thật thoải mái và tiện nghi, hơn thế là sang trọng và đẳng cấp, vì thế đặt hoa bình này của hoatuoi360.com trong phòng khách hay trong phòng làm việc sẽ khiến mọi thứ bừng sáng, tạo cho bạn cảm giác sảng khoái và hưng phấn nhất.</p>
","
<p>Phong cách Hoàng Gia với Hồ Điệp, Cẩm Tú Cầu, Hồng...cùng các hoa lá phụ khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-binh/Hoa-binh-V-126.jpg","Bình thường","Kích thước",3000000
"iffj7","#V129","Hoa bình V 129","<p><strong>HOÀNG GIA</strong></p>
<p>Phần lớn mọi người đều muốn rằng không gian sống của mình thật thoải mái và tiện nghi, hơn thế là sang trọng và đẳng cấp, vì thế đặt hoa bình này của hoatuoi360.com trong phòng khách hay trong phòng làm việc sẽ khiến mọi thứ bừng sáng, tạo cho bạn cảm giác sảng khoái và hưng phấn nhất.</p>
","
<p>Phong cách Hoàng Gia với Hồ Điệp, Cẩm Tú Cầu, Hồng...cùng các hoa lá phụ khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-binh/Hoa-binh-V-126.jpg","Lớn hơn (+30%)","Kích thước",3900000
