"id","sku","name","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price","description"
"rl01i","#B120","Hoa Bó B 120","
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/lkjkhhgf.jpg","Bình thường","Kích thước",1900000,
"rl01i","#B120","Hoa Bó B 120","
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/lkjkhhgf.jpg","Lớn hơn (+30%)","Kích thước",2470000,
"tbwt","#B104","Hoa Bó B 104","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/hoa-bo-ht-111.jpg","Bình thường","Kích thước",3000000,
"tbwt","#B104","Hoa Bó B 104","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/hoa-bo-ht-111.jpg","Lớn hơn (+30%)","Kích thước",3900000,
"fxjw5","#B18101","Hoa Bó B 18101","
<p>Bó hoa <strong>Hy Vọng</strong> gồm 1 Hoa Hướng Dương to tròn cùng các hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/112a.JPG","Bình thường","Kích thước",70000,"<p style=""margin-left:9.0pt;""><strong>HY VỌNG</strong></p>
<p style=""margin-left:9.0pt;"">Hoa Hướng Dương là loài hoa luôn quay theo hướng mặt trời, khi đạt đến chiều cao bằng người, các cây luôn hướng về phía đông cho một khởi đầu mới, để được sưởi ấm từ mặt trời nhằm thu hút các côn trùng thụ phấn.</p>
<p style=""margin-left:9.0pt;"">Vì thế, bó hoa Hướng Dương luôn mang ý nghĩa của niềm tin và hy&nbsp;vọng. Đây chính là món quà ý nghĩa dành cho những người bạn trân trọng vào dịp Quốc tế phụ nữ, Sinh nhật, ....</p>
<p style=""margin-left:9.0pt;"">Lưu ý: Tối thiểu 5 bó hoa cho 1 đơn hàng.</p>
"
"fxjw5","#B18101","Hoa Bó B 18101","
<p>Bó hoa <strong>Hy Vọng</strong> gồm 1 Hoa Hướng Dương to tròn cùng các hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/112a.JPG","Lớn hơn (+30%)","Kích thước",91000,"<p style=""margin-left:9.0pt;""><strong>HY VỌNG</strong></p>
<p style=""margin-left:9.0pt;"">Hoa Hướng Dương là loài hoa luôn quay theo hướng mặt trời, khi đạt đến chiều cao bằng người, các cây luôn hướng về phía đông cho một khởi đầu mới, để được sưởi ấm từ mặt trời nhằm thu hút các côn trùng thụ phấn.</p>
<p style=""margin-left:9.0pt;"">Vì thế, bó hoa Hướng Dương luôn mang ý nghĩa của niềm tin và hy&nbsp;vọng. Đây chính là món quà ý nghĩa dành cho những người bạn trân trọng vào dịp Quốc tế phụ nữ, Sinh nhật, ....</p>
<p style=""margin-left:9.0pt;"">Lưu ý: Tối thiểu 5 bó hoa cho 1 đơn hàng.</p>
"
"4o3ln","#B107","Hoa Bó B 107","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/DSC_0040.jpg","Bình thường","Kích thước",1500000,
"4o3ln","#B107","Hoa Bó B 107","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/DSC_0040.jpg","Lớn hơn (+30%)","Kích thước",1950000,
"lhz2","#B18001","Hoa Bó B 18001","
<p>Bó hoa <strong>May Mắn</strong> gồm 22 Hoa Hồng trắng, Gấu con cùng các hoa lá phụ liệu khác được gói cẩn thận trong những tờ giấy gói duyên dáng.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/B%2018001.JPG","Bình thường","Kích thước",1000000,"<p style=""margin-left:9.0pt;""><strong>MAY MẮN</strong></p>
<p style=""margin-left:9.0pt;"">Hoa Hồng trắng thể hiện một tình cảm&nbsp;trong sáng và tinh tế. 22 Hoa Hồng trắng gửi đi lời chúc may mắn đến những người thân yêu.&nbsp;</p>
<p style=""margin-left:9.0pt;"">Món quà không những thích hợp tặng cho người thương để thể hiện tình yêu thuần khiết, tặng bạn bè thể hiện lòng quý mến chân thành mà còn thích hợp tặng cho người mẹ, người cô,&nbsp;người chị, sếp nữ,...&nbsp;để thể hiện sự quý trọng, yêu kính trong những dịp lễ đặc biệt.</p>
<p style=""margin-left:9.0pt;"">&nbsp;</p>
"
"lhz2","#B18001","Hoa Bó B 18001","
<p>Bó hoa <strong>May Mắn</strong> gồm 22 Hoa Hồng trắng, Gấu con cùng các hoa lá phụ liệu khác được gói cẩn thận trong những tờ giấy gói duyên dáng.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/B%2018001.JPG","Lớn hơn (+30%)","Kích thước",1300000,"<p style=""margin-left:9.0pt;""><strong>MAY MẮN</strong></p>
<p style=""margin-left:9.0pt;"">Hoa Hồng trắng thể hiện một tình cảm&nbsp;trong sáng và tinh tế. 22 Hoa Hồng trắng gửi đi lời chúc may mắn đến những người thân yêu.&nbsp;</p>
<p style=""margin-left:9.0pt;"">Món quà không những thích hợp tặng cho người thương để thể hiện tình yêu thuần khiết, tặng bạn bè thể hiện lòng quý mến chân thành mà còn thích hợp tặng cho người mẹ, người cô,&nbsp;người chị, sếp nữ,...&nbsp;để thể hiện sự quý trọng, yêu kính trong những dịp lễ đặc biệt.</p>
<p style=""margin-left:9.0pt;"">&nbsp;</p>
"
