"id","sku","name","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price","description"
"9uvm","#W140","Hoa cưới W 140","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-cuoi-W-114.jpg","Bình thường","Kích thước",990000,
"9uvm","#W140","Hoa cưới W 140","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-cuoi-W-114.jpg","Lớn hơn (+30%)","Kích thước",1287000,
"4e6hh","#W149","Hoa cưới W 149","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-cuoi-W-113.jpg","Bình thường","Kích thước",990000,
"4e6hh","#W149","Hoa cưới W 149","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-cuoi-W-113.jpg","Lớn hơn (+30%)","Kích thước",1287000,
"oc9m","#W148","Hoa cưới W 148","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-cuoi-W-111.jpg","Bình thường","Kích thước",990000,
"oc9m","#W148","Hoa cưới W 148","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-cuoi-W-111.jpg","Lớn hơn (+30%)","Kích thước",1287000,
"qpl6","#W141","Hoa cưới W 141","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-cuoi-W-115.jpg","Bình thường","Kích thước",3000000,
"qpl6","#W141","Hoa cưới W 141","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-cuoi-W-115.jpg","Lớn hơn (+30%)","Kích thước",3900000,
"ggy39","#W-147","Hoa Cuoi W-147","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-147.jpg","Bình thường","Kích thước",900000,
"ggy39","#W-147","Hoa Cuoi W-147","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-147.jpg","Lớn hơn (+30%)","Kích thước",1170000,
"zxhp9","#W-146","Hoa Cưới W-146","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-146.jpg","Bình thường","Kích thước",1900000,
"zxhp9","#W-146","Hoa Cưới W-146","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-146.jpg","Lớn hơn (+30%)","Kích thước",2470000,
"8zz21","#W-145","Hoa Cưới W-145","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-145.jpg","Bình thường","Kích thước",600000,
"8zz21","#W-145","Hoa Cưới W-145","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-145.jpg","Lớn hơn (+30%)","Kích thước",780000,
"s5cae","#W-144","Hoa Cưới W-144","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-144.jpg","Bình thường","Kích thước",1900000,
"s5cae","#W-144","Hoa Cưới W-144","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-144.jpg","Lớn hơn (+30%)","Kích thước",2470000,
"5bkc8","#W-143","Hoa Cưới W-143","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-143.jpg","Bình thường","Kích thước",2000000,
"5bkc8","#W-143","Hoa Cưới W-143","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-143.jpg","Lớn hơn (+30%)","Kích thước",2600000,
"y9qz4","#W-142","Hoa Cưới W-142","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-142.jpg","Bình thường","Kích thước",900000,
"y9qz4","#W-142","Hoa Cưới W-142","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-142.jpg","Lớn hơn (+30%)","Kích thước",1170000,
"rt7l","#W-141","Hoa Cưới W-141","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-141.jpg","Bình thường","Kích thước",900000,
"rt7l","#W-141","Hoa Cưới W-141","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-141.jpg","Lớn hơn (+30%)","Kích thước",1170000,
"hj9vp","#W-140","Hoa Cưới W-140","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-140.jpg","Bình thường","Kích thước",3000000,
"hj9vp","#W-140","Hoa Cưới W-140","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-140.jpg","Lớn hơn (+30%)","Kích thước",3900000,
"uuqdj","#W-139","Hoa Cưới W-139","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-139.jpg","Bình thường","Kích thước",3000000,
"uuqdj","#W-139","Hoa Cưới W-139","
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/Hoa-Cuoi-W-139.jpg","Lớn hơn (+30%)","Kích thước",3900000,
"xbaw","#W001","Hoa cầm tay cô dâu W 001","
<p>Hoa Cầm Tây diễm lệ với Hoa Hồng Trắng, Hoa Hồng Cam cùng các loại hoa lá phụ liệu khác.</p>
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/hoa-cam-tay-co-dau-W-(L)-001.jpg","Bình thường","Kích thước",700000,"<p><strong>ĐỜI SỐNG MỚI</strong></p>
<p>Cuộc sống&nbsp;thiếu tình yêu không phải là sống mà chỉ là sự tồn tại. Không thể sống thiếu tình yêu vì con người sinh ra có một tâm hồn để mà yêu. M.Gorki. Vì thế, để sống đúng nghĩa ta luôn luôn phải sống với tình yêu của mình. Hoa Cầm Tay với Hoa Hồng Cam - biểu tượng của sự khởi đầu là lời chúc cho cặp tình nhân sắp bước vào một đời sống mới.</p>
"
"xbaw","#W001","Hoa cầm tay cô dâu W 001","
<p>Hoa Cầm Tây diễm lệ với Hoa Hồng Trắng, Hoa Hồng Cam cùng các loại hoa lá phụ liệu khác.</p>
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/hoa-cam-tay-co-dau-W-(L)-001.jpg","Lớn hơn (+30%)","Kích thước",910000,"<p><strong>ĐỜI SỐNG MỚI</strong></p>
<p>Cuộc sống&nbsp;thiếu tình yêu không phải là sống mà chỉ là sự tồn tại. Không thể sống thiếu tình yêu vì con người sinh ra có một tâm hồn để mà yêu. M.Gorki. Vì thế, để sống đúng nghĩa ta luôn luôn phải sống với tình yêu của mình. Hoa Cầm Tay với Hoa Hồng Cam - biểu tượng của sự khởi đầu là lời chúc cho cặp tình nhân sắp bước vào một đời sống mới.</p>
"
"wyid9","#W002","Hoa cầm tay cô dâu W 002","
<p>Hoa Cầm Tay gồm Hoa Hồng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa cưới>Hoa cầm tay cô dâu","https://hoatuoi360.com/contents/images/Products/hoa-cam-tay/hoa-cam-tay-co-dau-W-(L)-002.jpg","Bình thường","Kích thước",500000,"<p><strong>NGỌN LỬA</strong></p>
<p>Xa cách đối với tình yêu như gió đối với lửa, nó thổi tắt ngọn lửa nhỏ nhưng thổi bùng ngọn lửa lớn. R. Bussy Rabutin. Sau những sóng gió, thử thách, ""ngọn lửa"" ấy không những không tắt đi mà còn mãi mãi bừng cháy,&nbsp;gói gọn lại trong một đám cưới thật hoành tráng và tràn đầy tình thương. Bó hoa cưới với Hoa Hồng Đỏ như những ngọn lửa cháy sáng là lời chúc cho một đám cưới viên mãn, thích hợp để cô dâu cầm trên tay, cùng người bạn đời bước vào lễ đường.</p>
"
