"id","sku","name","description","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"agnps","#BK226","Hoa giỏ BK 226","<p style=""margin-left:9.0pt;""><strong>SÓNG - BỜ</strong></p>
<p style=""margin-left:9.0pt;""><strong>Sóng - bờ</strong> là giỏ&nbsp;hoa được lấy cảm hứng từ nỗi nhớ da diết của các cặp đôi yêu xa. Với tông màu đỏ chủ đạo của Hoa Hồng Đỏ, kết hợp cùng những Chuỗi Ngọc nhỏ xinh thầm gửi đi thông điệp đợi chờ ngày hạnh phúc. Tuy mỗi người một nơi, nhưng lúc nào lòng cũng hướng về nhau.&nbsp;Mẫu hoa thích hợp để thể hiện nỗi nhớ vô bờ đối với những người thân yêu trong các dịp lễ.</p>
","
<p>Hoa Giỏ&nbsp;gồm Lan Hồ Điệp, Hoa Hồng, Chuỗi ngọc cùng các loại hoa lá phụ liệu khác.</p>
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/hoa-gio-bk-226.jpg","Bình thường","Kích thước",1900000
"agnps","#BK226","Hoa giỏ BK 226","<p style=""margin-left:9.0pt;""><strong>SÓNG - BỜ</strong></p>
<p style=""margin-left:9.0pt;""><strong>Sóng - bờ</strong> là giỏ&nbsp;hoa được lấy cảm hứng từ nỗi nhớ da diết của các cặp đôi yêu xa. Với tông màu đỏ chủ đạo của Hoa Hồng Đỏ, kết hợp cùng những Chuỗi Ngọc nhỏ xinh thầm gửi đi thông điệp đợi chờ ngày hạnh phúc. Tuy mỗi người một nơi, nhưng lúc nào lòng cũng hướng về nhau.&nbsp;Mẫu hoa thích hợp để thể hiện nỗi nhớ vô bờ đối với những người thân yêu trong các dịp lễ.</p>
","
<p>Hoa Giỏ&nbsp;gồm Lan Hồ Điệp, Hoa Hồng, Chuỗi ngọc cùng các loại hoa lá phụ liệu khác.</p>
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/hoa-gio-bk-226.jpg","Lớn hơn (+30%)","Kích thước",2470000
"pfkj","#BK234","Hoa giỏ BK 234",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/hoa-gio-bk-234.jpg","Bình thường","Kích thước",1000000
"pfkj","#BK234","Hoa giỏ BK 234",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/hoa-gio-bk-234.jpg","Lớn hơn (+30%)","Kích thước",1300000
"macqs","#BK236","Hoa giỏ BK 236","<p style=""margin-left:9.0pt;""><strong>BẾN TÌNH</strong></p>
<p style=""margin-left:9.0pt;"">“Thay ta nhé, hỡi lời ca, giọng hát,</p>
<p style=""margin-left:9.0pt;"">Chở con thuyền lạc bến tình thơ.”</p>
<p style=""margin-left:9.0pt;"">Những cành Địa Lan được thiết kế nổi lên trên, cao hẳn hơn so với Hoa Hồng, Lan Hồ Điệp,&nbsp;như hình ảnh của chiếc thuyền lạc&nbsp;vào bến tình bao la, bát ngát, sinh động của những loài hoa. Món quà là lời nhắn nhủ yêu thương: “Anh đã lạc vào tim em” chắc chắn sẽ làm những người yêu thương của bạn rung động trong các dịp lễ đặc biệt.</p>
<p style=""margin-left:9.0pt;"">&nbsp;</p>
","
<p>Hoa Hộp đẹp dịu dàng với Địa Lan, Lan Hồ Điệp, Hoa Hồng cùng các loại hoa lá phụ kiện khác.</p>
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/hoa-gio-bx-236.jpg","Bình thường","Kích thước",2000000
"macqs","#BK236","Hoa giỏ BK 236","<p style=""margin-left:9.0pt;""><strong>BẾN TÌNH</strong></p>
<p style=""margin-left:9.0pt;"">“Thay ta nhé, hỡi lời ca, giọng hát,</p>
<p style=""margin-left:9.0pt;"">Chở con thuyền lạc bến tình thơ.”</p>
<p style=""margin-left:9.0pt;"">Những cành Địa Lan được thiết kế nổi lên trên, cao hẳn hơn so với Hoa Hồng, Lan Hồ Điệp,&nbsp;như hình ảnh của chiếc thuyền lạc&nbsp;vào bến tình bao la, bát ngát, sinh động của những loài hoa. Món quà là lời nhắn nhủ yêu thương: “Anh đã lạc vào tim em” chắc chắn sẽ làm những người yêu thương của bạn rung động trong các dịp lễ đặc biệt.</p>
<p style=""margin-left:9.0pt;"">&nbsp;</p>
","
<p>Hoa Hộp đẹp dịu dàng với Địa Lan, Lan Hồ Điệp, Hoa Hồng cùng các loại hoa lá phụ kiện khác.</p>
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/hoa-gio-bx-236.jpg","Lớn hơn (+30%)","Kích thước",2600000
"fni4s","#BK239","Hoa giỏ BK 239","<p style=""margin-left:9.0pt;""><strong>THANH THOÁT</strong></p>
<p style=""margin-left:9.0pt;"">Hoa hồng trắng thể hiện một tình yêu trong sáng và tinh tế. Ngoài ra, nó còn biểu trưng cho tình bạn thân thiết và vô tư. Kết hợp với cậy bạch môn thanh thoát và tinh tế, điểm thêm vài bông Green Wicky và Hoa hướng dương thể hiện một tình bạn gắn bó, thân thiết.</p>
<p style=""margin-left:9.0pt;"">Món quà không những thích hợp tặng cho người thương để thể hiện tình yêu thuần khiết, tặng bạn bè thể hiện lòng quýmến chân thành mà còn thích hợp tặng cho người mẹ, người cô, người chị để thể hiện sự quý trọng, yêu kính.</p>
","
<p>Hoa Giỏ thanh thoát với Hoa Hướng Dương, Green Wicky, Phi Yến, Bạch Môn, Hồng Trắng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/hoa-gio-bk-239.jpg","Bình thường","Kích thước",2000000
"fni4s","#BK239","Hoa giỏ BK 239","<p style=""margin-left:9.0pt;""><strong>THANH THOÁT</strong></p>
<p style=""margin-left:9.0pt;"">Hoa hồng trắng thể hiện một tình yêu trong sáng và tinh tế. Ngoài ra, nó còn biểu trưng cho tình bạn thân thiết và vô tư. Kết hợp với cậy bạch môn thanh thoát và tinh tế, điểm thêm vài bông Green Wicky và Hoa hướng dương thể hiện một tình bạn gắn bó, thân thiết.</p>
<p style=""margin-left:9.0pt;"">Món quà không những thích hợp tặng cho người thương để thể hiện tình yêu thuần khiết, tặng bạn bè thể hiện lòng quýmến chân thành mà còn thích hợp tặng cho người mẹ, người cô, người chị để thể hiện sự quý trọng, yêu kính.</p>
","
<p>Hoa Giỏ thanh thoát với Hoa Hướng Dương, Green Wicky, Phi Yến, Bạch Môn, Hồng Trắng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/hoa-gio-bk-239.jpg","Lớn hơn (+30%)","Kích thước",2600000
"mpiu","#BK233","Hoa Giỏ BK 233",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/hoa-gio-bk-233.jpg","Bình thường","Kích thước",2000000
"mpiu","#BK233","Hoa Giỏ BK 233",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/hoa-gio-bk-233.jpg","Lớn hơn (+30%)","Kích thước",2600000
"dgl6l","#BK230","Hoa giỏ BK 230",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/hoa-gio-bk-230.jpg","Bình thường","Kích thước",3000000
"dgl6l","#BK230","Hoa giỏ BK 230",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/hoa-gio-bk-230.jpg","Lớn hơn (+30%)","Kích thước",3900000
"okwc6","#BK231","Hoa Giỏ BK 231",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-231.jpg","Bình thường","Kích thước",700000
"okwc6","#BK231","Hoa Giỏ BK 231",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-231.jpg","Lớn hơn (+30%)","Kích thước",910000
"ovrrh","#BK240","Hoa giỏ BK 240",,"
<p>Hộp Hoa gồm Hoa Hướng Dương, Đồng Tiền, Hồng, Wicky, Trái Cây cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Nhà Giáo Việt Nam 20/11","https://hoatuoi360.com/contents/images/Products/hoa-gio/gio.jpg","Bình thường","Kích thước",1000000
"ovrrh","#BK240","Hoa giỏ BK 240",,"
<p>Hộp Hoa gồm Hoa Hướng Dương, Đồng Tiền, Hồng, Wicky, Trái Cây cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Nhà Giáo Việt Nam 20/11","https://hoatuoi360.com/contents/images/Products/hoa-gio/gio.jpg","Lớn hơn (+30%)","Kích thước",1300000
"6tw8","#G18009","Hoa Giỏ G 18009","<p style=""margin-left:9.0pt;""><strong>GẮN KẾT</strong></p>
<p style=""margin-left:9.0pt;"">Đối với người Phương Đông, Hoa lily&nbsp;tượng trưng cho&nbsp;sự cao sang, quý phái. Giỏ hoa với điểm nhấn là 2 bông lily&nbsp;vàng toát lên vẻ thanh tao dành riêng cho những cô nàng đài các, kiêu sa. Hoa ly còn mang ý nghĩa của sự hạnh phúc viên mãn của các cặp vợ chồng.</p>
<p style=""margin-left:9.0pt;"">Những dịp lễ như Quốc tế phụ nữ, sinh nhật,... là cơ hội để bày tỏ tình yêu thương. Giỏ&nbsp;quà thích hợp tặng cho những người phụ nữ&nbsp;thân yêu, hay tặng cho cô nàng mà ta thương thầm, trộn nhớ.</p>
","
<p>Món quà hoa <strong>Gắn Kết </strong>gồm Hoa Hồng, Lan Mokara, Lily cùng các loại hoa lá phụ liệu khác đặt trong một giỏ hoa trắng tinh khôi.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-gio/G%2018009.JPG","Bình thường","Kích thước",300000
"6tw8","#G18009","Hoa Giỏ G 18009","<p style=""margin-left:9.0pt;""><strong>GẮN KẾT</strong></p>
<p style=""margin-left:9.0pt;"">Đối với người Phương Đông, Hoa lily&nbsp;tượng trưng cho&nbsp;sự cao sang, quý phái. Giỏ hoa với điểm nhấn là 2 bông lily&nbsp;vàng toát lên vẻ thanh tao dành riêng cho những cô nàng đài các, kiêu sa. Hoa ly còn mang ý nghĩa của sự hạnh phúc viên mãn của các cặp vợ chồng.</p>
<p style=""margin-left:9.0pt;"">Những dịp lễ như Quốc tế phụ nữ, sinh nhật,... là cơ hội để bày tỏ tình yêu thương. Giỏ&nbsp;quà thích hợp tặng cho những người phụ nữ&nbsp;thân yêu, hay tặng cho cô nàng mà ta thương thầm, trộn nhớ.</p>
","
<p>Món quà hoa <strong>Gắn Kết </strong>gồm Hoa Hồng, Lan Mokara, Lily cùng các loại hoa lá phụ liệu khác đặt trong một giỏ hoa trắng tinh khôi.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-gio/G%2018009.JPG","Lớn hơn (+30%)","Kích thước",390000
"321dc","#BK238","Hoa giỏ BK 238",,"
<p>Hoa Giỏ gồm Địa Lan, Wicky, Hoa Hồng, Phi Yến, Cúc Camilero cùng các loại hoa lá phụ liệu khác.</p>
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BX-238.jpg","Bình thường","Kích thước",1000000
"321dc","#BK238","Hoa giỏ BK 238",,"
<p>Hoa Giỏ gồm Địa Lan, Wicky, Hoa Hồng, Phi Yến, Cúc Camilero cùng các loại hoa lá phụ liệu khác.</p>
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BX-238.jpg","Lớn hơn (+30%)","Kích thước",1300000
"4rxm","#BK235","Hoa giỏ BK 235",,"
","Hoa theo chủ đề>Ngày Nhà Giáo Việt Nam 20/11","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BX-235.jpg","Bình thường","Kích thước",1000000
"4rxm","#BK235","Hoa giỏ BK 235",,"
","Hoa theo chủ đề>Ngày Nhà Giáo Việt Nam 20/11","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BX-235.jpg","Lớn hơn (+30%)","Kích thước",1300000
"7aqtp","#BK229","Hoa giỏ BK 229",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/hoa-gio-bk-229.jpg","Bình thường","Kích thước",300000
"7aqtp","#BK229","Hoa giỏ BK 229",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/hoa-gio-bk-229.jpg","Lớn hơn (+30%)","Kích thước",390000
"aclz","#BK237","Hoa giỏ BK 237","<p style=""margin-left:9.0pt;"">THANH TAO</p>
<p style=""margin-left:9.0pt;"">Đối với người Phương Đông, Hoa ly tượng trưng có sự cao sang, quý phái. Hoa Giỏ&nbsp;hai&nbsp;Hoa ly với nhỏ bé&nbsp;nhưng toát lên vẻ thanh tao không bé nhỏ chút nào&nbsp;dành riêng cho những cô nàng đài các, kiêu sa. Hoa ly còn mang ý nghĩa của sự hạnh phúc viên mãn của các cặp vợ chồng.</p>
<p style=""margin-left:9.0pt;"">Hộp quà thích hợp tặng cho những người thân yêu trong những dịp kỷ niệm, dịp lễ đặc biệt với thông điệp trăm năm hòa hợp, hạnh phúc trọn đời.</p>
","
<p>Hoa Giỏ thanh tao với Hoa Ly, Lan Mokara, Đồng Tiền, Hoa Hồng cùng các loại hoa lá phụ khác.</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-237.jpg","Bình thường","Kích thước",300000
"aclz","#BK237","Hoa giỏ BK 237","<p style=""margin-left:9.0pt;"">THANH TAO</p>
<p style=""margin-left:9.0pt;"">Đối với người Phương Đông, Hoa ly tượng trưng có sự cao sang, quý phái. Hoa Giỏ&nbsp;hai&nbsp;Hoa ly với nhỏ bé&nbsp;nhưng toát lên vẻ thanh tao không bé nhỏ chút nào&nbsp;dành riêng cho những cô nàng đài các, kiêu sa. Hoa ly còn mang ý nghĩa của sự hạnh phúc viên mãn của các cặp vợ chồng.</p>
<p style=""margin-left:9.0pt;"">Hộp quà thích hợp tặng cho những người thân yêu trong những dịp kỷ niệm, dịp lễ đặc biệt với thông điệp trăm năm hòa hợp, hạnh phúc trọn đời.</p>
","
<p>Hoa Giỏ thanh tao với Hoa Ly, Lan Mokara, Đồng Tiền, Hoa Hồng cùng các loại hoa lá phụ khác.</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-237.jpg","Lớn hơn (+30%)","Kích thước",390000
"z5gx7","#BK225","Hoa giỏ BK 225",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-219.jpg","Bình thường","Kích thước",1500000
"z5gx7","#BK225","Hoa giỏ BK 225",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-219.jpg","Lớn hơn (+30%)","Kích thước",1950000
"jbyo","#BK224","Hoa giỏ BK 224",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-217.jpg","Bình thường","Kích thước",900000
"jbyo","#BK224","Hoa giỏ BK 224",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-217.jpg","Lớn hơn (+30%)","Kích thước",1170000
"b1cmv","#BK227","Hoa giỏ BK 227",,"
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-hoa-BX-215.jpg","Bình thường","Kích thước",1900000
"b1cmv","#BK227","Hoa giỏ BK 227",,"
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-hoa-BX-215.jpg","Lớn hơn (+30%)","Kích thước",2470000
"1945o","#BK222","Hoa giỏ BK 222",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-214.jpg","Bình thường","Kích thước",1500000
"1945o","#BK222","Hoa giỏ BK 222",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-214.jpg","Lớn hơn (+30%)","Kích thước",1950000
"1vvaj","#BK221","Hoa giỏ BK 221",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK.jpg","Bình thường","Kích thước",700000
"1vvaj","#BK221","Hoa giỏ BK 221",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK.jpg","Lớn hơn (+30%)","Kích thước",910000
"cnppx","#BK219","Hoa giỏ BK 219",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-218.jpg","Bình thường","Kích thước",1000000
