"id","sku","name","description","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"hxv2h","#BX101","Hoa hộp BX 101","<p><strong>TRANG NHÃ</strong></p>
<p>Khi nhìn thấy Hoa Hộp&nbsp;mang phong cách và cách trang trí có sự xuất hiện của màu Pastel, ngay lập tức ta sẽ có cảm giác&nbsp;thư giãn thực sự tuyệt vời. Vì thế, tông&nbsp;màu Pastel được sử dụng ngày càng được phổ biến hiện nay và luôn là sự lựa chọn hàng đầu bởi các chị em do sự nữ tính mà nó đem đến là điều không thể chối cãi. Vô cùng lãng mạn và bắt mắt, chắc chắn các cô gái sẽ đắm chìm trong không gian này và không thể thoát rời bởi vẻ thu hút của Hoa Hộp gam màu Pastel trang nhã. Hoa Hộp thích hợp tặng cho những người thân yêu để thể hiện tình cảm chất phác và chân thành nhất.</p>
","
<p>Hộp Hoa gồm Hoa Hướng Dương, Hoa Hồng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa hộp","https://hoatuoi360.com/contents/images/Products/hoa-hop/hoa-hop-bx101.jpg","Bình thường","Kích thước",500000
"hxv2h","#BX101","Hoa hộp BX 101","<p><strong>TRANG NHÃ</strong></p>
<p>Khi nhìn thấy Hoa Hộp&nbsp;mang phong cách và cách trang trí có sự xuất hiện của màu Pastel, ngay lập tức ta sẽ có cảm giác&nbsp;thư giãn thực sự tuyệt vời. Vì thế, tông&nbsp;màu Pastel được sử dụng ngày càng được phổ biến hiện nay và luôn là sự lựa chọn hàng đầu bởi các chị em do sự nữ tính mà nó đem đến là điều không thể chối cãi. Vô cùng lãng mạn và bắt mắt, chắc chắn các cô gái sẽ đắm chìm trong không gian này và không thể thoát rời bởi vẻ thu hút của Hoa Hộp gam màu Pastel trang nhã. Hoa Hộp thích hợp tặng cho những người thân yêu để thể hiện tình cảm chất phác và chân thành nhất.</p>
","
<p>Hộp Hoa gồm Hoa Hướng Dương, Hoa Hồng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa hộp","https://hoatuoi360.com/contents/images/Products/hoa-hop/hoa-hop-bx101.jpg","Lớn hơn (+30%)","Kích thước",650000
"bwbl5","#BX103","Hoa hộp BX 103","<p><strong>ĐẰM THẮM</strong></p>
<p>Theo quan niệm của người Việt, màu vàng tượng trưng cho một cuộc sống sung túc đủ đầy. Màu vàng cũng tượng trưng cho một tình yêu kiêu sa, nhưng rất chân thành, mang đến sự tin tưởng và niềm vui. Vì thế, Hoa Hộp Hoatuoi360.com tông màu vàng sang trọng này sẽ hút vận may và mang đến cho người nhận cuộc sống tràn đầy năng lượng. Những đóa hoa xinh đẹp này thích hợp dành tặng cho mẹ, chị, em gái hay một nửa yêu thương,... trong những dịp lễ quan trọng.</p>
","
<p>Sản phầm độc đáo với Hoa Hồng, Cẩm Chướng, Táo cùng các loại hoa lá phụ kiện khác.</p>
","Hoa hộp","https://hoatuoi360.com/contents/images/Products/hoa-hop/hoa-hop-bx103.jpg","Bình thường","Kích thước",1000000
"bwbl5","#BX103","Hoa hộp BX 103","<p><strong>ĐẰM THẮM</strong></p>
<p>Theo quan niệm của người Việt, màu vàng tượng trưng cho một cuộc sống sung túc đủ đầy. Màu vàng cũng tượng trưng cho một tình yêu kiêu sa, nhưng rất chân thành, mang đến sự tin tưởng và niềm vui. Vì thế, Hoa Hộp Hoatuoi360.com tông màu vàng sang trọng này sẽ hút vận may và mang đến cho người nhận cuộc sống tràn đầy năng lượng. Những đóa hoa xinh đẹp này thích hợp dành tặng cho mẹ, chị, em gái hay một nửa yêu thương,... trong những dịp lễ quan trọng.</p>
","
<p>Sản phầm độc đáo với Hoa Hồng, Cẩm Chướng, Táo cùng các loại hoa lá phụ kiện khác.</p>
","Hoa hộp","https://hoatuoi360.com/contents/images/Products/hoa-hop/hoa-hop-bx103.jpg","Lớn hơn (+30%)","Kích thước",1300000
"q3s2l","#BX104","Hoa hộp BX 104","<p><strong>ÁNH NẮNG</strong></p>
<p>Màu vàng là màu của ánh nắng dịu dạng, là màu&nbsp;sắc của cuộc sống vui tươi, lạc quan, ấm áp, giàu sang, sung túc và thịnh vượng. Chính vì thế trong tình yêu màu vàng mang ý nghĩa là một tình yêu kiêu sa và rực rở, thể hiện sự ấm áp, chân thành, là sự tin tưởng và là niềm vui trong tình yêu. Do đó, khi nhận được Hoa Hộp với gam màu vàng nồng ấm này, chắc chắn người nhận sẽ nở một nụ cười rạng rỡ.</p>
","
<p>Hoa Hộp gồm Địa Lan, Thanh Môn, Wicky, Hoa Hồng, Hoa Cẩm Tú, Hoa Hướng Dương, Hoa Phi Yến cùng các loại hoa lá phụ liệu khác trong một hộp gỗ sang trọng.</p>
","Hoa hộp","https://hoatuoi360.com/contents/images/Products/hoa-hop/hoa-hop-bx-104.jpg","Bình thường","Kích thước",1000000
"q3s2l","#BX104","Hoa hộp BX 104","<p><strong>ÁNH NẮNG</strong></p>
<p>Màu vàng là màu của ánh nắng dịu dạng, là màu&nbsp;sắc của cuộc sống vui tươi, lạc quan, ấm áp, giàu sang, sung túc và thịnh vượng. Chính vì thế trong tình yêu màu vàng mang ý nghĩa là một tình yêu kiêu sa và rực rở, thể hiện sự ấm áp, chân thành, là sự tin tưởng và là niềm vui trong tình yêu. Do đó, khi nhận được Hoa Hộp với gam màu vàng nồng ấm này, chắc chắn người nhận sẽ nở một nụ cười rạng rỡ.</p>
","
<p>Hoa Hộp gồm Địa Lan, Thanh Môn, Wicky, Hoa Hồng, Hoa Cẩm Tú, Hoa Hướng Dương, Hoa Phi Yến cùng các loại hoa lá phụ liệu khác trong một hộp gỗ sang trọng.</p>
","Hoa hộp","https://hoatuoi360.com/contents/images/Products/hoa-hop/hoa-hop-bx-104.jpg","Lớn hơn (+30%)","Kích thước",1300000
"ebu9","#G18005","Hoa Hộp G 18005","<p><strong>NHẸ NHÀNG</strong></p>
<p>Cát Tường có nghĩa là May mắn vì thế loài hoa này được đa số người Á Đông yêu thích. Với vẻ đẹp nhẹ nhàng của những đóa Cát Tường xanh, Hộp Hoa đã làm&nbsp;tròn nhiệm vụ khi tạo được cảm giác thư thái, bình an, đem lại may mắn cho người nhận và&nbsp;xua tan đi những căng thẳng, mệt mỏi sau một ngày làm việc vất vả.</p>
<p>Hãy dùng <strong>Nhẹ Nhàng</strong>&nbsp;để thể hiện sự quan tâm của bạn đến người thân, bạn bè, đồng nghiệp trong những dịp lễ quan trọng như Quốc tế Phụ nữ, Sinh nhật, Thăng chức... nhé!</p>
","
<p>Hoa Hộp<strong> Nhẹ Nhàng </strong>gồm Hoa Hồng, Cát Tường, Táo xanh cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-hop/G%2018005.JPG","Bình thường","Kích thước",500000
"ebu9","#G18005","Hoa Hộp G 18005","<p><strong>NHẸ NHÀNG</strong></p>
<p>Cát Tường có nghĩa là May mắn vì thế loài hoa này được đa số người Á Đông yêu thích. Với vẻ đẹp nhẹ nhàng của những đóa Cát Tường xanh, Hộp Hoa đã làm&nbsp;tròn nhiệm vụ khi tạo được cảm giác thư thái, bình an, đem lại may mắn cho người nhận và&nbsp;xua tan đi những căng thẳng, mệt mỏi sau một ngày làm việc vất vả.</p>
<p>Hãy dùng <strong>Nhẹ Nhàng</strong>&nbsp;để thể hiện sự quan tâm của bạn đến người thân, bạn bè, đồng nghiệp trong những dịp lễ quan trọng như Quốc tế Phụ nữ, Sinh nhật, Thăng chức... nhé!</p>
","
<p>Hoa Hộp<strong> Nhẹ Nhàng </strong>gồm Hoa Hồng, Cát Tường, Táo xanh cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-hop/G%2018005.JPG","Lớn hơn (+30%)","Kích thước",650000
"jidza","#BX093","Hoa hộp BX 093","<p><strong>BẤT HỦ</strong></p>
<p>Tặng Hoa Hồng Đỏ là cách phổ biến nhất để nói ""Anh yêu em"" với một ai đó đặc biệt.&nbsp;Hoa là biểu tượng xác định cho tình cảm lãng mạn, thể hiện cho tình yêu chân thật, mạnh mẽ bất chấp mọi chông gai. Hộp Hoa <strong>Bất Hủ</strong> với Hoa hồng đỏ là một món quà có ý nghĩa, hoàn hảo để thể hiện tình cảm với một người thân yêu vào ngày Valentine, ngày kỷ niệm hoặc đơn giản chỉ vì muốn gửi hoa.</p>
","
<p>Tình yêu lớn với 99 bông hồng.</p>
","Hoa hộp","https://hoatuoi360.com/contents/images/Products/hoa-hop/hoa-hop-bx-093.jpg","Bình thường","Kích thước",2700000
"jidza","#BX093","Hoa hộp BX 093","<p><strong>BẤT HỦ</strong></p>
<p>Tặng Hoa Hồng Đỏ là cách phổ biến nhất để nói ""Anh yêu em"" với một ai đó đặc biệt.&nbsp;Hoa là biểu tượng xác định cho tình cảm lãng mạn, thể hiện cho tình yêu chân thật, mạnh mẽ bất chấp mọi chông gai. Hộp Hoa <strong>Bất Hủ</strong> với Hoa hồng đỏ là một món quà có ý nghĩa, hoàn hảo để thể hiện tình cảm với một người thân yêu vào ngày Valentine, ngày kỷ niệm hoặc đơn giản chỉ vì muốn gửi hoa.</p>
","
<p>Tình yêu lớn với 99 bông hồng.</p>
","Hoa hộp","https://hoatuoi360.com/contents/images/Products/hoa-hop/hoa-hop-bx-093.jpg","Lớn hơn (+30%)","Kích thước",3510000
"72bpj","#G18010","Hoa Hộp G 18010","<p style=""margin-left:9.0pt;""><strong>HUYỀN THOẠI</strong></p>
<p style=""margin-left:9.0pt;"">Hoa ly vàng từ lâu đã tượng trưng cho lòng biết ơn, vui vẻ. Những&nbsp;bông hoa ly được đặt ngay vị trí trung tâm của hộp&nbsp;hoa, nổi bật trên nền đỏ, vàng của Hoa lan và Hoa hồng. Hoa ly đã làm tròn nghĩa vụ của nó là làm bật lên sự tinh khiết, quý phái của hộp&nbsp;hoa rực rỡ.</p>
<p style=""margin-left:9.0pt;"">Nếu bạn muốn thể hiện sự cảm kích với ai đó đã giúp bạn, món quà hoa này sẽ là sự lựa chọn phù hợp nhất, đây là món quà đã đi vào huyền thoại trong những dịp lễ, dịp kỷ niệm quan trọng như Quốc tế Phụ nữ, sinh nhật,...</p>
","
<p>Hoa Hộp <strong>Huyền Thoại</strong>&nbsp;gồm Lan Mokara, Hoa Lily, Hoa Hồng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/hoa-hop/G%2018010.jpg","Bình thường","Kích thước",500000
"72bpj","#G18010","Hoa Hộp G 18010","<p style=""margin-left:9.0pt;""><strong>HUYỀN THOẠI</strong></p>
<p style=""margin-left:9.0pt;"">Hoa ly vàng từ lâu đã tượng trưng cho lòng biết ơn, vui vẻ. Những&nbsp;bông hoa ly được đặt ngay vị trí trung tâm của hộp&nbsp;hoa, nổi bật trên nền đỏ, vàng của Hoa lan và Hoa hồng. Hoa ly đã làm tròn nghĩa vụ của nó là làm bật lên sự tinh khiết, quý phái của hộp&nbsp;hoa rực rỡ.</p>
<p style=""margin-left:9.0pt;"">Nếu bạn muốn thể hiện sự cảm kích với ai đó đã giúp bạn, món quà hoa này sẽ là sự lựa chọn phù hợp nhất, đây là món quà đã đi vào huyền thoại trong những dịp lễ, dịp kỷ niệm quan trọng như Quốc tế Phụ nữ, sinh nhật,...</p>
","
<p>Hoa Hộp <strong>Huyền Thoại</strong>&nbsp;gồm Lan Mokara, Hoa Lily, Hoa Hồng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/hoa-hop/G%2018010.jpg","Lớn hơn (+30%)","Kích thước",650000
"gb268","#BX096","Hoa hộp BX 096","<p><b>CHU ĐÁO</b></p>
<p>Sắc vàng của những đóa&nbsp;hồng gợi lên trong ta&nbsp;cảm xúc vui vẻ, ấm áp và hân hoan chính vì thế chúng là biểu tượng của tình hữu nghị và sự chu đáo. Hộp Hoa với Hoa Hồng vàng rực rỡ là món quà rất thích hợp dành tặng cho Sếp hoặc đối tác quan trọng.</p>
","
<p>Hộp hoa sang trọng với Hoa Hồng, Hướng Dương, Địa Lan cùng các hoa lá phụ.</p>
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/hoa-hop/Hop-hoa-BX-078.jpg","Bình thường","Kích thước",2000000
"gb268","#BX096","Hoa hộp BX 096","<p><b>CHU ĐÁO</b></p>
<p>Sắc vàng của những đóa&nbsp;hồng gợi lên trong ta&nbsp;cảm xúc vui vẻ, ấm áp và hân hoan chính vì thế chúng là biểu tượng của tình hữu nghị và sự chu đáo. Hộp Hoa với Hoa Hồng vàng rực rỡ là món quà rất thích hợp dành tặng cho Sếp hoặc đối tác quan trọng.</p>
","
<p>Hộp hoa sang trọng với Hoa Hồng, Hướng Dương, Địa Lan cùng các hoa lá phụ.</p>
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/hoa-hop/Hop-hoa-BX-078.jpg","Lớn hơn (+30%)","Kích thước",2600000
"y8hg","#GF18008","Hoa Hộp GF 18008","<p><strong>RƯỢU THƠ</strong></p>
<p>Những dịp lễ quan trọng như Quốc tế Phụ nữ, sinh nhật, khai trương,... là cơ hội để gặp gỡ nhau, cũng như là dịp để thể hiện tình cảm tự đáy lòng tới đối phương. Món quà <strong>Rượu Thơ </strong>là bữa tiệc rượu tráng lệ với hai chai Corona, Hoa Cát tường, Lan Vũ nữ khơi gợi lại những kỷ niệm, những hồi ức khi xưa, là chất xúc tác, gia vị để tình cảm thêm khăng khít.</p>
","
<p>Sản phẩm <strong>Rượu Thơ</strong>&nbsp;gồm Lan Vũ Nữ, Hoa Cát Tường, Táo xanh, 2 chai Corona cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-hop/gf%2018008.JPG","Bình thường","Kích thước",1000000
"y8hg","#GF18008","Hoa Hộp GF 18008","<p><strong>RƯỢU THƠ</strong></p>
<p>Những dịp lễ quan trọng như Quốc tế Phụ nữ, sinh nhật, khai trương,... là cơ hội để gặp gỡ nhau, cũng như là dịp để thể hiện tình cảm tự đáy lòng tới đối phương. Món quà <strong>Rượu Thơ </strong>là bữa tiệc rượu tráng lệ với hai chai Corona, Hoa Cát tường, Lan Vũ nữ khơi gợi lại những kỷ niệm, những hồi ức khi xưa, là chất xúc tác, gia vị để tình cảm thêm khăng khít.</p>
","
<p>Sản phẩm <strong>Rượu Thơ</strong>&nbsp;gồm Lan Vũ Nữ, Hoa Cát Tường, Táo xanh, 2 chai Corona cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-hop/gf%2018008.JPG","Lớn hơn (+30%)","Kích thước",1300000
"hipw","#G18003","Hoa Hộp G 18003","<p><b>TAN CHẢY</b></p>
<p>Mang tông màu của ánh nắng ấm áp, Hộp Hoa khiến cho trái tim băng giá nhất cũng phải tan chảy. Với ý nghĩa chúc người nhận luôn luôn vui vẻ, nhiệt tình với công việc, món quà là sự lựa chọn hoàn hảo cho những dịp lễ Khai trương, Thăng chức, Sinh nhật, Quốc tế phụ nữ,...</p>
","
<p>Hoa Hộp gồm Lan Vũ Nữ, Hoa Hướng Dương, Táo cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-hop/G%2018003.JPG","Bình thường","Kích thước",1000000
