"id","sku","name","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price","description"
"yqusj","#B120","Hoa Bó B 120","
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/lkjkhhgf.jpg","Bình thường","Kích thước",1900000,
"yqusj","#B120","Hoa Bó B 120","
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/lkjkhhgf.jpg","Lớn hơn (+30%)","Kích thước",2470000,
"hp0iq","#V129","Hoa bình V 129","
<p>Phong cách Hoàng Gia với Hồ Điệp, Cẩm Tú Cầu, Hồng...cùng các hoa lá phụ khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-binh/Hoa-binh-V-126.jpg","Bình thường","Kích thước",3000000,"<p><strong>HOÀNG GIA</strong></p>
<p>Phần lớn mọi người đều muốn rằng không gian sống của mình thật thoải mái và tiện nghi, hơn thế là sang trọng và đẳng cấp, vì thế đặt hoa bình này của hoatuoi360.com trong phòng khách hay trong phòng làm việc sẽ khiến mọi thứ bừng sáng, tạo cho bạn cảm giác sảng khoái và hưng phấn nhất.</p>
"
"hp0iq","#V129","Hoa bình V 129","
<p>Phong cách Hoàng Gia với Hồ Điệp, Cẩm Tú Cầu, Hồng...cùng các hoa lá phụ khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-binh/Hoa-binh-V-126.jpg","Lớn hơn (+30%)","Kích thước",3900000,"<p><strong>HOÀNG GIA</strong></p>
<p>Phần lớn mọi người đều muốn rằng không gian sống của mình thật thoải mái và tiện nghi, hơn thế là sang trọng và đẳng cấp, vì thế đặt hoa bình này của hoatuoi360.com trong phòng khách hay trong phòng làm việc sẽ khiến mọi thứ bừng sáng, tạo cho bạn cảm giác sảng khoái và hưng phấn nhất.</p>
"
"hz0ki","#B18002","Hoa Bó B 18002","
<p>Món quà hoa <strong>Mặn Mà</strong> gồm 11 Bông Hồng đỏ cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/b%2018002.jpg","Bình thường","Kích thước",500000,"<p style=""margin-left:9.0pt;""><strong>MẶN MÀ</strong></p>
<p style=""margin-left:9.0pt;"">Hoa Hồng đỏ từ lâu đã tượng trưng cho một tình yêu mãnh liệt và đậm đà bày tỏ sự hạnh phúc vinh dự. Trong các mối quan hệ của các cặp đôi thì một bó Hoa Hồng đỏ sẽ thể hiện một khởi đầu lãng mạn và một tình yêu bền vững vượt thời gian.</p>
<p style=""margin-left:9.0pt;"">Hiện nay, việc tặng hoa ngày càng được phổ biến, người ta không chỉ tặng hoa hồng đỏ đơn thuần để thể hiện tình cảm nam nữ mà còn thể hiện tình cảm mặn mà không bờ bến đối với những người ta dành hết tình cảm yêu thương như mẹ, chị, em,… trong những dịp lễ đặc biệt như dịp Sinh nhật, Ngày Phụ Nữ, Chúc mừng,...</p>
<p style=""margin-left:9.0pt;"">&nbsp;</p>
"
"hz0ki","#B18002","Hoa Bó B 18002","
<p>Món quà hoa <strong>Mặn Mà</strong> gồm 11 Bông Hồng đỏ cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/b%2018002.jpg","Lớn hơn (+30%)","Kích thước",650000,"<p style=""margin-left:9.0pt;""><strong>MẶN MÀ</strong></p>
<p style=""margin-left:9.0pt;"">Hoa Hồng đỏ từ lâu đã tượng trưng cho một tình yêu mãnh liệt và đậm đà bày tỏ sự hạnh phúc vinh dự. Trong các mối quan hệ của các cặp đôi thì một bó Hoa Hồng đỏ sẽ thể hiện một khởi đầu lãng mạn và một tình yêu bền vững vượt thời gian.</p>
<p style=""margin-left:9.0pt;"">Hiện nay, việc tặng hoa ngày càng được phổ biến, người ta không chỉ tặng hoa hồng đỏ đơn thuần để thể hiện tình cảm nam nữ mà còn thể hiện tình cảm mặn mà không bờ bến đối với những người ta dành hết tình cảm yêu thương như mẹ, chị, em,… trong những dịp lễ đặc biệt như dịp Sinh nhật, Ngày Phụ Nữ, Chúc mừng,...</p>
<p style=""margin-left:9.0pt;"">&nbsp;</p>
"
"qy4qd","#B117","Hoa Bó B 117","
<p>Bó hồng Ecuador và hoa lá phụ...</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-116.jpg","Bình thường","Kích thước",1000000,
"qy4qd","#B117","Hoa Bó B 117","
<p>Bó hồng Ecuador và hoa lá phụ...</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-116.jpg","Lớn hơn (+30%)","Kích thước",1300000,
"5kbdg","#BX078","Hoa hộp BX 078","
<p>Hộp Hoa gồm 50 bông hoa hồng nhung trong một hộp gỗ quý phái.</p>
","Hoa theo chủ đề>Lễ Tình Nhân 14/2","https://hoatuoi360.com/contents/images/Products/hoa-hop/Hoa-hop-BX-078.jpg","Bình thường","Kích thước",2700000,"<p><strong>CẢM KÍCH</strong></p>
<p>Hoa hồng nhung với vẻ đẹp đằm thắm&nbsp;được phát hiện trong phần lớn tác phẩm nghệ thuật.&nbsp;Hoa hồng nhung là loài được tìm thấy nhiều và sớm nhất trong tự nhiên trong đại gia đình hoa hồng. Hộp Hoa với Hoa Hồng Nhung là tình yêu, lòng biết ơn và&nbsp;sự cảm kích đối với những người mà bạn yêu quý.</p>
"
"5kbdg","#BX078","Hoa hộp BX 078","
<p>Hộp Hoa gồm 50 bông hoa hồng nhung trong một hộp gỗ quý phái.</p>
","Hoa theo chủ đề>Lễ Tình Nhân 14/2","https://hoatuoi360.com/contents/images/Products/hoa-hop/Hoa-hop-BX-078.jpg","Lớn hơn (+30%)","Kích thước",3510000,"<p><strong>CẢM KÍCH</strong></p>
<p>Hoa hồng nhung với vẻ đẹp đằm thắm&nbsp;được phát hiện trong phần lớn tác phẩm nghệ thuật.&nbsp;Hoa hồng nhung là loài được tìm thấy nhiều và sớm nhất trong tự nhiên trong đại gia đình hoa hồng. Hộp Hoa với Hoa Hồng Nhung là tình yêu, lòng biết ơn và&nbsp;sự cảm kích đối với những người mà bạn yêu quý.</p>
"
