"id","sku","name","description","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"3fmnm","#b2018-001","B2018 001","<p>&nbsp;</p>
<p>&nbsp;</p>
","
<p>Hồng Đỏ Sasa 1 Bông.</p>
<p>&nbsp;- Được trang trí sang trọng với giấy báo, hoa lá phụ.</p>
<p>- Tối thiểu 300k 1 lần giao. free giao một lần HCM. Ngoại thành + 50k.</p>
<p>- Nhận đặt hoa hôm nay đến hết ngày 17/10, giao hoa từ 17-20 tháng 10/ 2018</p>
<p>&nbsp;</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/B2018-001.JPG","Bình thường","Kích thước",30000
"3fmnm","#b2018-001","B2018 001","<p>&nbsp;</p>
<p>&nbsp;</p>
","
<p>Hồng Đỏ Sasa 1 Bông.</p>
<p>&nbsp;- Được trang trí sang trọng với giấy báo, hoa lá phụ.</p>
<p>- Tối thiểu 300k 1 lần giao. free giao một lần HCM. Ngoại thành + 50k.</p>
<p>- Nhận đặt hoa hôm nay đến hết ngày 17/10, giao hoa từ 17-20 tháng 10/ 2018</p>
<p>&nbsp;</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/B2018-001.JPG","Lớn hơn (+30%)","Kích thước",39000
"q4bej","#b2018-002","B2018 002",,"
<p>Hướng Dương 1Bông.</p>
<p>- Được trang trí thành bó sang trọng với hoa phụ và phụ liệu.</p>
<p>- Tối thiểu 9 bó/1 lần giao free nội thành HCM, Ngoại thành + 50k</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/B2018-002.JPG","Bình thường","Kích thước",70000
"q4bej","#b2018-002","B2018 002",,"
<p>Hướng Dương 1Bông.</p>
<p>- Được trang trí thành bó sang trọng với hoa phụ và phụ liệu.</p>
<p>- Tối thiểu 9 bó/1 lần giao free nội thành HCM, Ngoại thành + 50k</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/B2018-002.JPG","Lớn hơn (+30%)","Kích thước",91000
"fy1ka","#H2018-001","H2018 001",,"
<p>HỘP HOA.&nbsp;</p>
<p>- Hộp hoa lan Mokara, Hướng Dương cùng hoa hồng được thiết kế sang trọng'.</p>
<p>- free giao hàng nội thành, ngoại thành + 50k.</p>
<p>- nhận đặt homo nay đến hết 17/10, giao hàng 17-20/10/ 2018</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/H2018-001.jpg","Bình thường","Kích thước",500000
"fy1ka","#H2018-001","H2018 001",,"
<p>HỘP HOA.&nbsp;</p>
<p>- Hộp hoa lan Mokara, Hướng Dương cùng hoa hồng được thiết kế sang trọng'.</p>
<p>- free giao hàng nội thành, ngoại thành + 50k.</p>
<p>- nhận đặt homo nay đến hết 17/10, giao hàng 17-20/10/ 2018</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/H2018-001.jpg","Lớn hơn (+30%)","Kích thước",650000
"y83wi","#H2018-002","H2018 002",,"
<p>HỘP HOA CÁCH ĐIỆU</p>
<p>- Thiết kế sang trọng theo phong cách tây với hòng chủ đạo</p>
<p>-free nội thành HCM, ngoại thành +50k</p>
<p>- Nhận đặt hoa từ 17/10, giao hàng 17-20/10/2018</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/files/H2018-002.jpg","Bình thường","Kích thước",500000
"y83wi","#H2018-002","H2018 002",,"
<p>HỘP HOA CÁCH ĐIỆU</p>
<p>- Thiết kế sang trọng theo phong cách tây với hòng chủ đạo</p>
<p>-free nội thành HCM, ngoại thành +50k</p>
<p>- Nhận đặt hoa từ 17/10, giao hàng 17-20/10/2018</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/files/H2018-002.jpg","Lớn hơn (+30%)","Kích thước",650000
"vtkfn","#SF2018-001","SF2018 001",,"
<p>CHÚC MỪNG</p>
<p>- Lan Mokara, lily và hoa Đồng tiền cùng nhiều hoa phụ khác</p>
<p>- nhận đặt hàng hết ngày 17/10, giao hàng 17-20/10/2018</p>
<p>-Free giao nội thành HCM, NGOẠI THÀNH +50K</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/SF2018-001.JPG","Bình thường","Kích thước",700000
"vtkfn","#SF2018-001","SF2018 001",,"
<p>CHÚC MỪNG</p>
<p>- Lan Mokara, lily và hoa Đồng tiền cùng nhiều hoa phụ khác</p>
<p>- nhận đặt hàng hết ngày 17/10, giao hàng 17-20/10/2018</p>
<p>-Free giao nội thành HCM, NGOẠI THÀNH +50K</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/SF2018-001.JPG","Lớn hơn (+30%)","Kích thước",910000
