"id","sku","name","description","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"qjhrq","#G18005","Hoa Hộp G 18005","<p><strong>NHẸ NHÀNG</strong></p>
<p>Cát Tường có nghĩa là May mắn vì thế loài hoa này được đa số người Á Đông yêu thích. Với vẻ đẹp nhẹ nhàng của những đóa Cát Tường xanh, Hộp Hoa đã làm&nbsp;tròn nhiệm vụ khi tạo được cảm giác thư thái, bình an, đem lại may mắn cho người nhận và&nbsp;xua tan đi những căng thẳng, mệt mỏi sau một ngày làm việc vất vả.</p>
<p>Hãy dùng <strong>Nhẹ Nhàng</strong>&nbsp;để thể hiện sự quan tâm của bạn đến người thân, bạn bè, đồng nghiệp trong những dịp lễ quan trọng như Quốc tế Phụ nữ, Sinh nhật, Thăng chức... nhé!</p>
","
<p>Hoa Hộp<strong> Nhẹ Nhàng </strong>gồm Hoa Hồng, Cát Tường, Táo xanh cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-hop/G%2018005.JPG","Bình thường","Kích thước",500000
"qjhrq","#G18005","Hoa Hộp G 18005","<p><strong>NHẸ NHÀNG</strong></p>
<p>Cát Tường có nghĩa là May mắn vì thế loài hoa này được đa số người Á Đông yêu thích. Với vẻ đẹp nhẹ nhàng của những đóa Cát Tường xanh, Hộp Hoa đã làm&nbsp;tròn nhiệm vụ khi tạo được cảm giác thư thái, bình an, đem lại may mắn cho người nhận và&nbsp;xua tan đi những căng thẳng, mệt mỏi sau một ngày làm việc vất vả.</p>
<p>Hãy dùng <strong>Nhẹ Nhàng</strong>&nbsp;để thể hiện sự quan tâm của bạn đến người thân, bạn bè, đồng nghiệp trong những dịp lễ quan trọng như Quốc tế Phụ nữ, Sinh nhật, Thăng chức... nhé!</p>
","
<p>Hoa Hộp<strong> Nhẹ Nhàng </strong>gồm Hoa Hồng, Cát Tường, Táo xanh cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-hop/G%2018005.JPG","Lớn hơn (+30%)","Kích thước",650000
"fsvr8","#G18010","Hoa Hộp G 18010","<p style=""margin-left:9.0pt;""><strong>HUYỀN THOẠI</strong></p>
<p style=""margin-left:9.0pt;"">Hoa ly vàng từ lâu đã tượng trưng cho lòng biết ơn, vui vẻ. Những&nbsp;bông hoa ly được đặt ngay vị trí trung tâm của hộp&nbsp;hoa, nổi bật trên nền đỏ, vàng của Hoa lan và Hoa hồng. Hoa ly đã làm tròn nghĩa vụ của nó là làm bật lên sự tinh khiết, quý phái của hộp&nbsp;hoa rực rỡ.</p>
<p style=""margin-left:9.0pt;"">Nếu bạn muốn thể hiện sự cảm kích với ai đó đã giúp bạn, món quà hoa này sẽ là sự lựa chọn phù hợp nhất, đây là món quà đã đi vào huyền thoại trong những dịp lễ, dịp kỷ niệm quan trọng như Quốc tế Phụ nữ, sinh nhật,...</p>
","
<p>Hoa Hộp <strong>Huyền Thoại</strong>&nbsp;gồm Lan Mokara, Hoa Lily, Hoa Hồng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/hoa-hop/G%2018010.jpg","Bình thường","Kích thước",500000
"fsvr8","#G18010","Hoa Hộp G 18010","<p style=""margin-left:9.0pt;""><strong>HUYỀN THOẠI</strong></p>
<p style=""margin-left:9.0pt;"">Hoa ly vàng từ lâu đã tượng trưng cho lòng biết ơn, vui vẻ. Những&nbsp;bông hoa ly được đặt ngay vị trí trung tâm của hộp&nbsp;hoa, nổi bật trên nền đỏ, vàng của Hoa lan và Hoa hồng. Hoa ly đã làm tròn nghĩa vụ của nó là làm bật lên sự tinh khiết, quý phái của hộp&nbsp;hoa rực rỡ.</p>
<p style=""margin-left:9.0pt;"">Nếu bạn muốn thể hiện sự cảm kích với ai đó đã giúp bạn, món quà hoa này sẽ là sự lựa chọn phù hợp nhất, đây là món quà đã đi vào huyền thoại trong những dịp lễ, dịp kỷ niệm quan trọng như Quốc tế Phụ nữ, sinh nhật,...</p>
","
<p>Hoa Hộp <strong>Huyền Thoại</strong>&nbsp;gồm Lan Mokara, Hoa Lily, Hoa Hồng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/hoa-hop/G%2018010.jpg","Lớn hơn (+30%)","Kích thước",650000
"6jvup","#B120","Hoa Bó B 120",,"
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/lkjkhhgf.jpg","Bình thường","Kích thước",1900000
"6jvup","#B120","Hoa Bó B 120",,"
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/lkjkhhgf.jpg","Lớn hơn (+30%)","Kích thước",2470000
"vkl1","#GF18008","Hoa Hộp GF 18008","<p><strong>RƯỢU THƠ</strong></p>
<p>Những dịp lễ quan trọng như Quốc tế Phụ nữ, sinh nhật, khai trương,... là cơ hội để gặp gỡ nhau, cũng như là dịp để thể hiện tình cảm tự đáy lòng tới đối phương. Món quà <strong>Rượu Thơ </strong>là bữa tiệc rượu tráng lệ với hai chai Corona, Hoa Cát tường, Lan Vũ nữ khơi gợi lại những kỷ niệm, những hồi ức khi xưa, là chất xúc tác, gia vị để tình cảm thêm khăng khít.</p>
","
<p>Sản phẩm <strong>Rượu Thơ</strong>&nbsp;gồm Lan Vũ Nữ, Hoa Cát Tường, Táo xanh, 2 chai Corona cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-hop/gf%2018008.JPG","Bình thường","Kích thước",1000000
"vkl1","#GF18008","Hoa Hộp GF 18008","<p><strong>RƯỢU THƠ</strong></p>
<p>Những dịp lễ quan trọng như Quốc tế Phụ nữ, sinh nhật, khai trương,... là cơ hội để gặp gỡ nhau, cũng như là dịp để thể hiện tình cảm tự đáy lòng tới đối phương. Món quà <strong>Rượu Thơ </strong>là bữa tiệc rượu tráng lệ với hai chai Corona, Hoa Cát tường, Lan Vũ nữ khơi gợi lại những kỷ niệm, những hồi ức khi xưa, là chất xúc tác, gia vị để tình cảm thêm khăng khít.</p>
","
<p>Sản phẩm <strong>Rượu Thơ</strong>&nbsp;gồm Lan Vũ Nữ, Hoa Cát Tường, Táo xanh, 2 chai Corona cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-hop/gf%2018008.JPG","Lớn hơn (+30%)","Kích thước",1300000
"fkatr","#G18003","Hoa Hộp G 18003","<p><b>TAN CHẢY</b></p>
<p>Mang tông màu của ánh nắng ấm áp, Hộp Hoa khiến cho trái tim băng giá nhất cũng phải tan chảy. Với ý nghĩa chúc người nhận luôn luôn vui vẻ, nhiệt tình với công việc, món quà là sự lựa chọn hoàn hảo cho những dịp lễ Khai trương, Thăng chức, Sinh nhật, Quốc tế phụ nữ,...</p>
","
<p>Hoa Hộp gồm Lan Vũ Nữ, Hoa Hướng Dương, Táo cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-hop/G%2018003.JPG","Bình thường","Kích thước",1000000
"fkatr","#G18003","Hoa Hộp G 18003","<p><b>TAN CHẢY</b></p>
<p>Mang tông màu của ánh nắng ấm áp, Hộp Hoa khiến cho trái tim băng giá nhất cũng phải tan chảy. Với ý nghĩa chúc người nhận luôn luôn vui vẻ, nhiệt tình với công việc, món quà là sự lựa chọn hoàn hảo cho những dịp lễ Khai trương, Thăng chức, Sinh nhật, Quốc tế phụ nữ,...</p>
","
<p>Hoa Hộp gồm Lan Vũ Nữ, Hoa Hướng Dương, Táo cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-hop/G%2018003.JPG","Lớn hơn (+30%)","Kích thước",1300000
