"id","sku","name","description","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"fdhy8","#BX096","Hoa hộp BX 096","<p><b>CHU ĐÁO</b></p>
<p>Sắc vàng của những đóa&nbsp;hồng gợi lên trong ta&nbsp;cảm xúc vui vẻ, ấm áp và hân hoan chính vì thế chúng là biểu tượng của tình hữu nghị và sự chu đáo. Hộp Hoa với Hoa Hồng vàng rực rỡ là món quà rất thích hợp dành tặng cho Sếp hoặc đối tác quan trọng.</p>
","
<p>Hộp hoa sang trọng với Hoa Hồng, Hướng Dương, Địa Lan cùng các hoa lá phụ.</p>
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/hoa-hop/Hop-hoa-BX-078.jpg","Bình thường","Kích thước",2000000
"fdhy8","#BX096","Hoa hộp BX 096","<p><b>CHU ĐÁO</b></p>
<p>Sắc vàng của những đóa&nbsp;hồng gợi lên trong ta&nbsp;cảm xúc vui vẻ, ấm áp và hân hoan chính vì thế chúng là biểu tượng của tình hữu nghị và sự chu đáo. Hộp Hoa với Hoa Hồng vàng rực rỡ là món quà rất thích hợp dành tặng cho Sếp hoặc đối tác quan trọng.</p>
","
<p>Hộp hoa sang trọng với Hoa Hồng, Hướng Dương, Địa Lan cùng các hoa lá phụ.</p>
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/hoa-hop/Hop-hoa-BX-078.jpg","Lớn hơn (+30%)","Kích thước",2600000
"65j4","#CF-032","Xe Cưới CF-032",,"
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/xe-hoa/Xe-Cuoi-CF-32.jpg","Bình thường","Kích thước",3000000
"65j4","#CF-032","Xe Cưới CF-032",,"
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/xe-hoa/Xe-Cuoi-CF-32.jpg","Lớn hơn (+30%)","Kích thước",3900000
"aes0z1","#CF-031","Xe Cưới CF-031",,"
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/xe-hoa/Xe-Cuoi-CF-031.jpg","Bình thường","Kích thước",4000000
"aes0z1","#CF-031","Xe Cưới CF-031",,"
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/xe-hoa/Xe-Cuoi-CF-031.jpg","Lớn hơn (+30%)","Kích thước",5200000
"in53q","#CF-030","Xe Cưới CF-030",,"
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/xe-hoa/Xe-Cuoi-CF-030.jpg","Bình thường","Kích thước",3000000
"in53q","#CF-030","Xe Cưới CF-030",,"
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/xe-hoa/Xe-Cuoi-CF-030.jpg","Lớn hơn (+30%)","Kích thước",3900000
"m5zgs","#CF-029","Xe Cưới CF-029",,"
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/xe-hoa/Xe-Cuoi-CF-029.jpg","Bình thường","Kích thước",3000000
"m5zgs","#CF-029","Xe Cưới CF-029",,"
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/xe-hoa/Xe-Cuoi-CF-029.jpg","Lớn hơn (+30%)","Kích thước",3900000
